"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1101","PespF18","3348","16975","NA","flanker","mrm66o8lbo3de035pma4afap43","~NsMNumnhq","7.46407","2018-10-23 10:17:37","42","41","5","1","2.58312","16","16","799.125","740.5","264.938","740.5","1","16","15","722.6","698","229.281","698","0.9375","2018-12-21 14:55:11"
"1102","PespF18","3348","16974","NA","flanker","na823si7dnutmv1ov71cic58m2","pgZ-glWR7c","4.74209","2018-10-16 10:05:37","42","38","5","1","0.218276","16","12","6587.33","3694.5","5885.19","2665.5","0.75","16","16","3536.81","1023.5","5339.85","857","1","2018-12-21 14:55:15"
"1103","PespF18","3348","16973","NA","flanker","isevseuq0ht8dlo9nisd6m7tg2","M3KTiKJuS4","6.86423","2018-10-16 10:22:25","42","42","5","1","1.86423","16","16","1939.12","1094","2353.34","1093","1","16","16","1375.88","1092.5","1058.58","1082","1","2018-12-21 14:55:18"
"1104","PespF18","3348","16972","NA","flanker","63mi7l8e7r1c5a0lv1hk18llb3","YCGo4wgR0C","6.98956","2018-10-16 10:21:28","42","41","5","1","2.10861","16","16","1530.56","957.5","1421.48","957.5","1","16","15","801.6","757","419.125","757","0.9375","2018-12-21 14:55:19"
"1105","PespF18","3348","16971","NA","flanker","ts84c60qroh977aqhf8nq93ik4","v0KH8pfdYh","6.68258","2018-10-16 10:21:03","42","42","5","1","1.68258","16","16","2401.38","1220","3184.51","1206","1","16","16","1374.62","1157","852.001","1157","1","2018-12-21 14:55:20"
"1106","PespF18","3348","16970","NA","flanker","glooke6u1jma3c1a72s7qfr461","oomtU60o9p","3.09524","2018-10-16 10:05:31","42","26","3","0","4.42212","16","4","1718.75","273.5","2990.4","273.5","0.25","16","12","963.417","582.5","1212.89","615","0.75","2018-12-21 14:55:22"
"1107","PespF18","3348","16969","NA","flanker","j11t2u5nvisce3eurol1dlkbr2","TNUzeUUvpK","8.08582","2018-10-16 10:16:45","42","42","5","1","3.08582","16","16","696.938","564","384.979","564","1","16","16","701.938","536.5","540.326","536.5","1","2018-12-21 14:55:27"
"1108","PespF18","3348","16968","NA","flanker","28gksq3v17657l8i2ckndtqsq4","JHM2Cg3iO0","5.89252","2018-10-16 10:17:37","42","34","4","1","1.84491","16","8","1791.62","1104.5","1517.13","1104.5","0.5","16","16","816.75","795.5","159.832","795.5","1","2018-12-21 14:55:28"
"1109","PespF18","3348","16967","NA","flanker","94em7i3jlum7dkivr3lokvikn6","MYexVxd06M","3.69048","2018-10-16 10:16:04","42","31","4","0","4.20578","16","11","794.455","279","1518.43","307.5","0.6875","16","10","747.3","437","972.481","462","0.625","2018-12-21 14:55:30"
"1110","PespF18","3348","17342","NA","flanker","dtkcohf2r3dj343p3irusotg10","5tKqC0rE5_","7.0408","2018-10-10 09:44:00","42","38","5","1","2.51699","16","15","1198.27","770","1109.03","767.5","0.9375","16","13","893.923","697","710.89","676.5","0.8125","2018-12-21 14:55:31"
"1111","PespF18","3348","17341","NA","flanker","im2fav01jgj0a1obvm7hmm6vf5","XbA5HBavas","3.80952","2018-10-10 09:41:59","42","32","4","0","1.99005","16","11","1575.82","1021","2460.15","1021","0.6875","16","11","1501.36","606","1538.74","638.5","0.6875","2018-12-21 14:55:33"
"1112","PespF18","3348","17340","NA","flanker","lct77010hf9dgsti3o2r09td01","kv~DQd~8cy","3.80952","2018-10-24 09:28:30","42","32","4","0","1.31521","16","11","1525.55","1389","1347.62","1471.5","0.6875","16","11","9035.64","1098","17991.6","1421.5","0.6875","2018-12-21 14:55:35"
"1113","PespF18","3348","17340","NA","flanker","r4513mjtcihom4k6h1tl9lffb0","@@2ftmMQVg","3.80952","2018-10-10 09:45:24","21","16","4","0","0.486571","5","2","2305","2305","1086.12","2305","0.4","6","4","14441.5","12994","12623","743","0.666667","2018-12-21 14:55:35"
"1114","PespF18","3348","17339","NA","flanker","b256v5uj1o6s0hfeepv3ugc466","JYldF8ARhu","5.44923","2018-10-24 09:28:48","42","36","4","1","1.16352","16","10","2749.5","1597.5","2234.26","1597.5","0.625","16","16","1287.5","844","1263.3","837","1","2018-12-21 14:55:36"
"1115","PespF18","3348","17339","NA","flanker","vat58ghe327gmvjuggtgd09l22",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-21 14:55:36"
"1116","PespF18","3348","17338","NA","flanker","tv96g6d6i06mp0vcjqf36n2495","v4~uVixeNa","2.97619","2018-10-10 09:42:00","42","25","3","0","0","16","0","0","0","0","0","0","16","15","822.733","658","519.812","663.5","0.9375","2018-12-21 14:55:40"
"1117","PespF18","3348","17337","NA","flanker","5032vfqrlil284a49fgn43kak4","Zcu7FKq~4y","3.33333","2018-10-10 09:41:58","42","28","3","0","3.39903","16","9","379.333","373","256.104","476","0.5625","16","9","715.111","687","473.981","774","0.5625","2018-12-21 14:55:44"
"1118","PespF18","3348","17336","NA","flanker","ohqcb6bhllrob0dm525q8h5k25","iWV~_IroS_","3.57143","2018-10-10 09:41:57","42","30","4","0","2.10187","16","6","946.833","961","341.652","961","0.375","16","14","1744.71","1029","2583.57","1003","0.875","2018-12-21 14:56:00"
"1119","PespF18","3348","17335","NA","flanker","ev7h9r70qjaejflo3heoot09p1","nmWKobP3u7","3.21429","2018-10-10 09:42:32","42","27","3","0","3.74811","16","5","2963.8","407","5306.66","394","0.3125","16","12","2384.17","693.5","5837.49","685","0.75","2018-12-21 14:56:01"
"1120","PespF18","3348","17334","NA","flanker","rlm6f39p5cnr7qe84tm7jq54c4","grB_y7B9lg","5.65439","2018-10-10 09:41:22","42","36","4","1","1.36867","16","10","2260.7","1429.5","2297.26","1429.5","0.625","16","16","1279.69","1086","692.425","1086","1","2018-12-21 14:56:03"
"1121","PespF18","3348","17333","NA","flanker","psdojkiheve26c9k404at9gkq0","Tp1kFDedQ9","0","2018-10-10 09:47:22","17","14","4","1","0","3","0","0","0","0","0","0","4","4","1132","991","443.083","991","1","2018-12-21 14:56:05"
