"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"586","PespF18","3350","16968","NA","dccs","28gksq3v17657l8i2ckndtqsq4","pub_m_r5lRp1GT","3.71429","2018-10-16 10:26:03","35","26","4","0","3.08392","5","4","770.75","725","264.499","725","0.8","20","12","1643.83","1155","1930.63","1129","0.6","2019-03-20 16:14:47"
"585","PespF18","3350","16970","NA","dccs","glooke6u1jma3c1a72s7qfr461","pub_WT6exhb68p","6.62935","2018-10-16 10:20:45","39","34","4","1","2.27037","6","4","1066","1054.5","479.767","1054.5","0.666667","23","20","753.9","624","499.534","594","0.869565","2019-03-20 16:14:42"
"584","PespF18","3350","16971","NA","dccs","hh023rr8au0sgqbbmpk83fonv6","pub_HvL4WhVG-F","5.84121","2018-10-23 10:08:43","39","33","4","1","1.61045","6","5","1143.4","1429","490.266","1429","0.833333","23","18","1022.22","874.5","669.362","868","0.782609","2019-03-20 16:14:40"
"583","PespF18","3350","16972","NA","dccs","9o17r4kqnr851u1i5duea3ndi5","pub_jBnmSX-JTO","3.97436","2018-10-23 10:12:06","39","31","4","0","2.10871","6","4","1730.75","1136","1433.18","1136","0.666667","23","17","2288.71","1453","1663.1","1453","0.73913","2019-03-20 16:14:38"
"582","PespF18","3350","16973","NA","dccs","126p8cm7bjbv88jiad2h9i64u6","pub_L@Ej-OoTu2","5.98773","2018-10-23 10:09:52","39","34","4","1","1.62876","6","5","1523.4","1417","753.253","1417","0.833333","23","19","898.211","821","352.054","821","0.826087","2019-03-20 16:14:35"
"581","PespF18","3350","16974","NA","dccs","na823si7dnutmv1ov71cic58m2","pub_TzuWbLukwS","0","2018-10-16 10:24:08","16","13","4","1","0","1","0","0","0","0","0","0","5","3","2624.33","1722","2003.21","1722","0.6","2019-03-20 16:14:34"
"580","PespF18","3350","16974","NA","dccs","r37s656bno4rs49p0kfc4enub7","pub_M8G8mR2csB","6.71696","2018-10-23 10:02:49","39","32","4","1","2.61439","6","4","1023.25","900","296.746","900","0.666667","23","18","1822.33","1306.5","2187.45","1241","0.782609","2019-03-20 16:14:33"
"579","PespF18","3350","16975","NA","dccs","mrm66o8lbo3de035pma4afap43","pub_MfK2DpdnYN","5","2018-10-23 10:22:39","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:14:27"
"578","PespF18","3350","16975","NA","dccs","5467t55g3mdtgdl26s3spf45s0","pub_jnSsIe7593","3.625","2018-10-30 10:09:30","40","29","4","0","2.70555","7","5","1016.8","863","266.036","863","0.714286","23","14","1037.21","922.5","464.493","922.5","0.608696","2019-03-20 16:14:26"
"577","PespF18","3350","16976","NA","dccs","f6g00kgqurnndp54m9dsuhcnc1","pub_bYjhwFaB-A","3.97436","2018-10-16 10:25:38","39","31","4","0","0","6","0","0","0","0","0","0","23","21","1763.9","1105","1905.63","1072.5","0.913043","2019-03-20 16:14:25"
"576","PespF18","3350","16977","NA","dccs","e1kandc0cksm0u40emc81c1va0","pub_YId1Q1d0ry","6.69173","2018-10-16 10:24:19","21","21","5","1","1.69173","2","2","1376.5","1376.5","219.91","1376.5","1","9","9","788.333","819","176.216","819","1","2019-03-20 16:14:23"
"575","PespF18","3350","16977","NA","dccs","kfh8o3np4bnaafarhbefh50iu4","pub_NM4Ncd3G1M","7.31195","2018-10-23 10:01:27","40","38","5","1","2.56195","7","5","946.8","922","214.971","922","0.714286","23","23","936.826","907","370.139","883","1","2019-03-20 16:14:23"
"574","PespF18","3350","16977","NA","dccs","mmu7l13104dffru4h6nliid7u1","pub_cL_AljZXZq","5","2018-10-23 09:57:26","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:14:22"
"573","PespF18","3350","16979","NA","dccs","b5rc7q84u1nhv4i76kqeca0bp1","pub_Vo~ofuvFx_","3.84615","2018-10-16 10:23:23","13","10","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2019-03-20 16:14:20"
"572","PespF18","3350","16979","NA","dccs","kvkfi76f6icrq3v7qfn5i21i90","pub_W6FNDQBKoi","2.17949","2018-10-23 10:05:38","39","17","2","0","2.30881","6","4","2270.5","1036","2653.86","1036","0.666667","23","3","755.667","735","122.317","735","0.130435","2019-03-20 16:14:19"
"571","PespF18","3350","16980","NA","dccs","5aptl43nh5ujtn8svcr11ungl7","pub_MRw9F9j7vM","2.69231","2018-10-23 10:09:41","26","14","3","0","0","3","2","3067.5","3067.5","156.271","3000","0.666667","13","2","189.5","189.5","174.655","313","0.153846","2019-03-20 16:14:18"
