"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"1033","FA18UCpost","3625","16787","NA","dccs","q8h3r371q87u9u3sq8t7mip9g0","pub_EmcpheP5uY","7.81659","2018-11-27 09:15:12","39","35","4","1","3.32941","6","4","752.75","647.5","242.628","647.5","0.666667","23","21","1108.1","890","801.688","890","0.913043","2019-03-20 16:53:36"
"1032","FA18UCpost","3625","16789","NA","dccs","9fohtteo0336etpipb47r2hgm7","pub_xSvatZ~oq4","6.55237","2018-11-27 09:14:03","39","35","4","1","2.06519","6","5","1413.6","1159","874.244","1159","0.833333","23","20","865.35","745","364.381","745","0.869565","2019-03-20 16:53:31"
"1031","FA18UCpost","3625","16790","NA","dccs","agsa921mlj8sgtbm6dnftrkmd7","pub_BBi2gyxxKF","7.33735","2018-11-27 09:18:54","39","36","5","1","2.72197","6","4","1065.25","856.5","492.558","856.5","0.666667","23","22","724.773","615.5","247.299","615.5","0.956522","2019-03-20 16:53:28"
"1030","FA18UCpost","3625","16791","NA","dccs","s1in2jssk9pojssrear0110q37","pub_rF8bH0i8S@","5.92013","2018-11-27 09:25:10","39","33","4","1","1.68936","6","3","1453.33","1378","698.055","1378","0.5","23","20","1466.05","1201","1163.09","1245","0.869565","2019-03-20 16:53:25"
"1029","FA18UCpost","3625","16792","NA","dccs","9ml5j5fm52nul1665ovbd1teh3","pub_Vf0yy-fTsy","5","2018-11-27 09:12:25","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:53:23"
"1028","FA18UCpost","3625","16792","NA","dccs","r0pejnakhllj76cl0tk7li0183","pub_pSa5~R4M4z","7.65719","2018-11-27 09:22:24","38","34","4","1","3.18351","6","4","774.75","692.5","193.176","692.5","0.666667","22","20","546.5","511.5","121.7","511.5","0.909091","2019-03-20 16:53:23"
"1027","FA18UCpost","3625","16795","NA","dccs","lihofle8habpar3a8lnp9v3403","pub_C9IhrLcZIr","8.17809","2018-11-27 09:52:42","37","34","5","1","3.58349","6","3","828","576","538.23","576","0.5","21","21","1053.86","864","530.014","864","1","2019-03-20 16:53:15"
"1026","FA18UCpost","3625","16796","NA","dccs","ihjtag3n6s78o8sne53gsot2i3","pub_4Fat6oWj-y","3.33333","2018-12-04 09:52:21","39","26","3","0","1.79098","6","3","1315","1315","217","1315","0.5","23","13","2284.31","1603","1862.56","1603","0.565217","2019-03-20 16:53:12"
"1025","FA18UCpost","3625","16797","NA","dccs","fg9mahob8qcpj2jjdmd7j8bjd7","pub_iSrOyB87IV","6.67879","2018-11-27 10:06:51","39","37","5","1","1.9352","6","4","1339.5","1230.5","399.934","1230.5","0.666667","23","23","1474.52","1153","877.024","1153","1","2019-03-20 16:53:09"
"1024","FA18UCpost","3625","16799","NA","dccs","93nq9m501rgu6gpg99f9iocfr4","pub_5SB@FquB7n","6.78459","2018-11-27 09:54:42","38","34","4","1","2.3109","6","3","934","1035","288.099","1035","0.5","22","21","1154.38","809","920.908","809","0.954545","2019-03-20 16:53:05"
"1023","FA18UCpost","3625","16800","NA","dccs","09fqkg5vr2ka9jfh967762umj0","pub_6V3ydfFPwz","3.58974","2018-11-27 09:59:18","39","28","4","0","2.27656","6","4","1139","1051.5","530.462","1051.5","0.666667","23","14","3753.21","1886.5","3259.77","1886.5","0.608696","2019-03-20 16:53:02"
"1022","FA18UCpost","3625","16801","NA","dccs","18pbgn16cdqa18ltbvqgg1ogv3","pub_8ESrJjTzql","8.39609","2018-11-27 09:51:07","38","37","5","1","3.52767","6","5","651","591","187.951","591","0.833333","22","22","764.864","636.5","395.151","636.5","1","2019-03-20 16:52:59"
"1021","FA18UCpost","3625","16802","NA","dccs","eas91hclbe1ejlict5jvcgico6","pub__aHrQGhDmw","3.71795","2018-11-27 09:54:38","39","29","4","0","2.47199","6","2","961","961","57.9828","961","0.333333","23","17","1406","995","864.663","995","0.73913","2019-03-20 16:52:56"
"1020","FA18UCpost","3625","16803","NA","dccs","45pk03n23sraf3tt7lnmrjhm66","pub_iA9zvYWPQa","7.66298","2018-12-04 09:47:40","40","37","5","1","3.03798","7","6","910.833","740.5","529.213","740.5","0.857143","23","21","647.952","540","290.203","523.5","0.913043","2019-03-20 16:52:53"
"1019","FA18UCpost","3625","16804","NA","dccs","kb8m2pm9m1pb5rntk2o23s2js4","pub_LqrtNwjkCS","7.35538","2018-11-27 09:50:10","35","33","5","1","2.6411","6","6","930.833","889","287.162","889","1","19","17","1094.29","908","618.014","908","0.894737","2019-03-20 16:52:51"
"1018","FA18UCpost","3625","16805","NA","dccs","3n4kmschcp4h22og530h71q6n7","pub_OjSSL@eME-","7.65483","2018-12-04 09:44:41","39","36","5","1","3.03945","6","5","874","740","285.73","740","0.833333","23","21","1098.38","717","949.972","717","0.913043","2019-03-20 16:52:48"
"1017","FA18UCpost","3625","16807","NA","dccs","28u320j590rn1l20k335ho8g34","pub_XSCbIJW-o2","8.01672","2018-11-27 09:53:13","39","37","5","1","3.27313","6","6","647.167","664.5","79.0681","664.5","1","23","21","674","642","170.034","642","0.913043","2019-03-20 16:52:43"
"1016","FA18UCpost","3625","16808","NA","dccs","dp6b75r4pclbuqmnhv0h5dbu27","pub_6E9DOo3B7X","2.82051","2018-11-27 10:00:52","39","22","3","0","1.91325","6","3","2827.67","1243","3098.49","1243","0.5","23","9","1215.78","1295","460.112","1295","0.391304","2019-03-20 16:52:41"
"1015","FA18UCpost","3625","16809","NA","dccs","d87l2hanp3f5nfc7204v4rl7f0","pub_1FyMMNcvHX","6.55641","2018-12-04 10:02:32","39","33","4","1","2.32564","6","1","1028","1028","0","1028","0.166667","23","22","957.227","856","359.334","856","0.956522","2019-03-20 16:52:38"
"1014","FA18UCpost","3625","16810","NA","dccs","mbjdmv43o7toik6kuu8lpdojp5","pub_M4RUNu~JM5","7.80064","2018-11-27 09:56:16","37","33","4","1","3.34118","6","3","641.333","644","157.017","644","0.5","21","20","807","765","323.085","748","0.952381","2019-03-20 16:52:36"
"1013","FA18UCpost","3625","16811","NA","dccs","3clg6h4eifndfejfsvlt5av0o2","pub_37-KZ_JL@M","7.46973","2018-12-04 09:50:03","40","40","5","1","2.46973","7","7","1096.71","962","273.593","962","1","23","23","1087.74","990","344.698","990","1","2019-03-20 16:52:34"
"1012","FA18UCpost","3625","16812","NA","dccs","87vc5phemr227fvn648ljbvml7","pub_GuXjaUdv31","7.7407","2018-11-27 09:59:54","38","35","5","1","3.13544","5","3","773.333","708","114.028","708","0.6","23","22","797.136","673","485.911","655","0.956522","2019-03-20 16:52:32"
"1011","FA18UCpost","3625","16813","NA","dccs","313i7kqinvbdn7c2jbephi22h6","pub_XrBhuzE81Y","5","2018-11-27 09:55:08","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:52:30"
"1010","FA18UCpost","3625","16813","NA","dccs","9ac8pf14lhg4aqfvola7c4gql4","pub_V~2aLbS@61","3.75","2018-12-04 09:46:53","40","30","4","0","3.73978","7","1","536","536","0","536","0.142857","23","19","1409.37","771","1636.61","771","0.826087","2019-03-20 16:52:30"
"1009","FA18UCpost","3625","16814","NA","dccs","o3tk73ih6n4ekkkj94110c6pc7","pub_YNiVYHOu4O","8.85917","2018-11-27 09:53:19","38","35","5","1","4.2539","6","6","469.667","423","154.891","423","1","22","19","541.737","470","333.176","446","0.863636","2019-03-20 16:52:28"
