"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"603","PRF18","3267","17204","NA","flanker","edea6fpl1frnst7vuqavknoa11","tBWCQVIQ@2","6.7112","2018-10-10 11:16:28","42","38","5","1","2.18739","16","12","1698.83","917.5","1935.87","917.5","0.75","16","16","874.188","812","547.059","780","1","2018-12-20 17:44:39"
"604","PRF18","3267","17203","NA","flanker","j50h8e4g2sq5m0g4grp6bukgs2","1mYPOYZYez","5.81135","2018-10-10 11:12:05","42","36","4","1","1.52563","16","10","2426.8","1327","2968.63","1313","0.625","16","16","1017.5","1006","416.325","1006","1","2018-12-20 17:44:42"
"605","PRF18","3267","17202","NA","flanker","nob9r48grtrb7c3173l95gu2l0","DHgMw~rzfT","8.37889","2018-10-10 11:09:56","42","40","5","1","3.61699","16","14","595.429","439","533.138","423","0.875","16","16","584.5","423","554.925","423","1","2018-12-20 17:44:45"
"606","PRF18","3267","17201","NA","flanker","3sqo1a5n8j97k4ljttf4im6b25","kyy5B@NfvQ","6.55727","2018-10-10 11:09:31","42","37","4","1","2.15251","16","11","984.545","935","751.425","935","0.6875","16","16","639.938","548","245.508","548","1","2018-12-20 17:44:46"
"607","PRF18","3267","17200","NA","flanker","j4nechunrulp1l8c50v0n3ct55","rJfk3iOYPn","8.32304","2018-10-10 11:14:51","42","42","5","1","3.32304","16","16","775.688","505","884.27","496","1","16","16","478.188","432","132.742","432","1","2018-12-20 17:44:50"
"608","PRF18","3267","17199","NA","flanker","l2cfs1bdrrc1a8ue0m754h4jr7","Z003GNgsfT","3.69048","2018-10-10 11:08:10","42","31","4","0","2.33829","16","8","1211.12","845.5","926.575","845.5","0.5","16","13","766.308","712","233.294","712","0.8125","2018-12-20 17:44:52"
"609","PRF18","3267","17198","NA","flanker","i7ie6l768v5mor92b4im2geti3","kPfCs9Q4Z4","7.08847","2018-10-10 11:15:24","42","42","5","1","2.08847","16","16","1295.94","968","691.208","968","1","16","16","762.625","533","461.347","533","1","2018-12-20 17:44:56"
"610","PRF18","3267","17197","NA","flanker","8j0lp0g02pcgqg2j0onmm9uej4","B@8G8zDFJM","3.57143","2018-10-10 11:09:09","42","30","4","0","0.151277","16","4","3735.75","2764","2179.64","2764","0.25","16","16","642.312","561","410.815","561","1","2018-12-20 17:44:59"
"611","PRF18","3267","17196","NA","flanker","p5qsv3qiocm53h4h4b4246k8p3","hdhhqEqO5v","7.7789","2018-10-10 11:10:46","42","42","5","1","2.7789","16","16","871.188","692.5","546.382","666","1","16","16","1026.38","762","595.688","762","1","2018-12-20 17:45:02"
"612","PRF18","3267","17195","NA","flanker","qd90opoe42i6p0gof3nli0g345","FPGzlPmJ4W","7.5574","2018-10-10 11:22:42","42","41","5","1","2.67644","16","15","804.333","704","315.188","704","0.9375","16","16","1158.69","615","1782.65","558","1","2018-12-20 17:45:06"
"613","PRF18","3267","17194","NA","flanker","sdkkfo21k1phr1fl160ls3k8o6","rAra~aei8p","6.71336","2018-10-25 11:04:31","42","41","5","1","1.83241","16","16","1974.88","1148.5","2502.79","1112","1","16","15","1610.47","1078","1144.79","1078","0.9375","2018-12-20 17:45:10"
"614","PRF18","3267","17193","NA","flanker","vts8suh44eu6f0e4vlmgkfjm32","iz9S3jTdNK","3.69048","2018-10-10 11:07:07","42","31","4","0","1.13883","16","5","1651.2","1619","923.927","1619","0.3125","16","16","566","548.5","107.646","548.5","1","2018-12-20 17:46:13"
"615","PRF18","3267","17192","NA","flanker","7u9d3inh7u5ikobn0gago5oag7","NC1LreFosy","3.58974","2018-10-10 11:21:42","39","28","4","0","0.954479","15","6","1568.33","1789","825.965","1789","0.4","14","12","1032.08","896.5","612.777","896.5","0.857143","2018-12-20 17:46:16"
"616","PRF18","3267","17211","NA","flanker","8oc9ohn7a5q12bcl1thbuevj65","8D_GdjcEf3","8.1532","2018-10-10 11:17:07","42","40","5","1","3.39129","16","14","462.357","478","96.7277","478","0.875","16","16","476.875","420.5","165.529","420.5","1","2018-12-20 17:46:20"
"617","PRF18","3267","17191","NA","flanker","c2k09qipd2pfobf3p6klvom6t5","hKG0StF7kY","3.33333","2018-10-10 11:15:55","42","28","3","0","4.1351","16","9","267.556","294","151.816","319.5","0.5625","16","9","403.444","532","347.12","632.5","0.5625","2018-12-20 17:46:23"
"618","PRF18","3267","17257","NA","flanker","hh6upgod3rrfs83inquur2q833","L8UBg4OImx","3.80952","2018-10-09 17:08:13","42","32","4","0","3.07603","16","12","2289.92","567","5975.81","567","0.75","16","10","586.7","464","383.689","464","0.625","2018-12-20 17:46:25"
"619","PRF18","3267","17322","NA","flanker","kb7s6ereqjctj9gnu3nfr8vop0","TgRddS5fw9","3.92857","2018-10-09 16:45:52","42","33","4","0","3.65446","16","12","804.917","414.5","1125.86","414.5","0.75","16","11","327.909","313","190.608","395.5","0.6875","2018-12-20 17:46:28"
"620","PRF18","3267","17250","NA","flanker","brnu6itcqgh6jqciccceo2pis0",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:46:30"
"621","PRF18","3267","17250","NA","flanker","brnu6itcqgh6jqciccceo2pis0",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:46:30"
"622","PRF18","3267","17250","NA","flanker","brnu6itcqgh6jqciccceo2pis0",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:46:30"
"623","PRF18","3267","17261","NA","flanker","kdpuam59chbq44in0cjojilt83","rP4lO6_J3~","8.05629","2018-10-09 08:20:36","29","28","5","1","3.22871","8","7","513.429","522","69.1999","522","0.875","11","11","457.091","452","75.6485","452","1","2018-12-20 17:46:35"
"624","PRF18","3267","17240","NA","flanker","tkd9lq7sl7mkhq7qfvkbv7c0v0","h~naaJii56","7.75008","2018-10-08 21:11:03","42","39","5","1","3.10723","16","14","11813.1","588.5","26609.8","557.5","0.875","16","15","3230.2","420","9979.16","402","0.9375","2018-12-20 17:46:37"
"625","PRF18","3267","17259","NA","flanker","1u5phj46v71tp49onbo4vdo496","xuolJGuqPp","8.3878","2018-10-08 20:50:20","42","41","5","1","3.50685","16","15","457.267","449","59.6866","449","0.9375","16","16","477.938","478","75.3777","478","1","2018-12-20 17:46:38"
"626","PRF18","3267","12210","NA","flanker","3p3va53vamv8phlnm7jg423bv3","8qOnHTfF1u","8.34713","2018-10-08 19:05:16","42","41","5","1","3.46618","16","15","444","459","57.6343","459","0.9375","16","16","468.938","429.5","163.868","429","1","2018-12-20 17:46:40"
"627","PRF18","3267","17232","NA","flanker","gj7msdv1n31bcj4gomqe8g4oq4",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:46:42"
