"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1242","FA18UCpost","3623","17678","NA","flanker","i1lsiu4789so6rhd19km0r9sc7","GD1p36t4mP","6.93028","2018-12-11 14:27:36","42","40","5","1","2.16838","16","14","994.929","927","398.185","927","0.875","16","16","794.625","750","279.252","750","1","2018-12-21 15:34:10"
"1243","FA18UCpost","3623","17677","NA","flanker","vlcbe4v8cljsqbgck7fffj2a33","~VOaX8kXW9","7.8582","2018-12-11 14:28:45","42","42","5","1","2.8582","16","16","784.562","639","473.152","638","1","16","16","608.25","577.5","173.559","577.5","1","2018-12-21 15:34:12"
"1244","FA18UCpost","3623","17672","NA","flanker","06hdf9bj075lcsou03653rhb03","9ROizNSEY1","3.57143","2018-12-11 13:53:05","42","30","4","0","1.25169","16","5","1670.4","1523","794.039","1523","0.3125","16","15","1022.93","859","456.624","859","0.9375","2018-12-21 15:34:21"
"1245","FA18UCpost","3623","17671","NA","flanker","fdc93slamtt7k06hscuq1ojfv6","B6TDn2V@nV","7.93755","2018-12-11 13:53:25","42","41","5","1","3.05659","16","15","575.267","573","65.7098","573","0.9375","16","16","626.875","580","172.741","580","1","2018-12-21 15:34:23"
"1246","FA18UCpost","3623","17669","NA","flanker","j09vhvsptl1fmr1hm4s9j3hd27","k1Kf-ua3xn","3.57143","2018-12-11 13:57:56","42","30","4","0","0.341436","16","4","2445.75","2493.5","1527.61","2493.5","0.25","16","16","636.625","597","141.103","585","1","2018-12-21 15:34:25"
"1247","FA18UCpost","3623","17668","NA","flanker","ub27911e4fungd2rg3oaaios64","iD-Kyl2Oj8","6.07418","2018-12-11 13:53:01","42","41","5","1","1.19323","16","16","1853.25","1597","1191.09","1572","1","16","15","1622.6","1237","1500.99","1117","0.9375","2018-12-21 15:34:27"
"1248","FA18UCpost","3623","17666","NA","flanker","eolo1qk80ct49o588a4ks6js14","I2~Cd-01z0","7.21506","2018-12-11 13:52:32","42","40","5","1","2.45316","16","14","1022.64","794.5","544.954","794.5","0.875","16","16","905.812","861.5","430.826","861.5","1","2018-12-21 15:34:28"
"1249","FA18UCpost","3623","17661","NA","flanker","7rdgeltdqmv3pccemdnijhgng7","~Ryof4ray-","6.93901","2018-12-11 13:52:19","42","38","5","1","2.41521","16","12","1636.92","811","1654.23","811","0.75","16","16","733.438","605","539.371","601","1","2018-12-21 15:34:30"
"1250","FA18UCpost","3623","17655","NA","flanker","vgm9dfd661bj1p7gvvdi1lf491","DgOZZjblT3","6.21637","2018-12-11 13:52:04","42","38","5","1","1.69256","16","12","1292.67","1199.5","390.921","1199.5","0.75","16","16","1210.5","1046.5","794.28","972","1","2018-12-21 15:34:35"
"1251","FA18UCpost","3623","17652","NA","flanker","tb4ujqga7kd0eajf2bqt640hb3","h2v1_IBLNZ","7.53877","2018-12-11 13:52:41","42","42","5","1","2.53877","16","16","807.375","758.5","240.411","758.5","1","16","16","642.375","609.5","228.24","603","1","2018-12-21 15:34:37"
