"userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","dateTime.x","dateTime.y","DiffScore","DiffAccuracy","DiffRT","ImproverScore","ImproverAccuracy","ImproverRT","AllImprove","ImprovedPostScoreGT7"
16814,8.83365,8.85917,5,5,4.21826,4.2539,"2018-10-16 09:53:54","2018-11-27 09:53:19",0.0255200000000002,0,0.0356399999999999,1,0,1,0,1
16815,7.86092,3.75,5,4,3.24553,0.215158,"2018-10-16 09:54:01","2018-11-27 09:58:15",-4.11092,-1,-3.030372,0,0,0,0,0
16816,7.96772,9.08128,5,5,3.09593,4.08128,"2018-10-16 09:53:46","2018-11-27 10:09:08",1.11356,0,0.98535,1,0,1,0,1
16817,3.07692,7.49748,3,5,2.16683,2.75389,"2018-10-16 09:59:31","2018-12-04 09:46:22",4.42056,2,0.58706,1,1,1,1,1
16818,7.04375,7.63744,5,5,2.42837,2.63744,"2018-10-16 09:58:38","2018-11-27 10:03:48",0.59369,0,0.20907,1,0,1,0,1
16820,8.20624,8.9121,5,5,3.33444,4.04368,"2018-10-16 11:22:20","2018-11-27 11:20:05",0.705860000000001,0,0.70924,1,0,1,0,1
16821,8.01514,0,4,4,3.91258,0,"2018-10-16 11:22:23","2018-11-27 11:24:35",-8.01514,0,-3.91258,0,0,0,0,0
16822,3.97436,7.59334,4,5,4.90096,2.99875,"2018-10-16 11:23:25","2018-11-27 11:20:23",3.61898,1,-1.90221,1,1,0,0,1
16823,8.85843,5,5,5,3.85843,0,"2018-10-16 11:29:08","2018-11-27 11:33:59",-3.85843,0,-3.85843,0,0,0,0,0
16824,7.13292,7.45381,5,5,2.26113,2.84855,"2018-10-16 11:22:02","2018-11-27 11:18:26",0.320889999999999,0,0.58742,1,0,1,0,1
16825,2.05128,7.35485,2,4,2.83382,2.99587,"2018-10-16 11:21:59","2018-11-27 11:19:27",5.30357,2,0.16205,1,1,1,1,1
16826,8.36495,8.33781,4,5,3.87777,3.33781,"2018-10-16 11:27:48","2018-11-27 11:19:12",-0.0271400000000011,1,-0.53996,0,1,0,0,1
16827,3.75,5.61061,4,4,0.606912,1.50805,"2018-10-16 11:23:51","2018-11-27 11:26:18",1.86061,0,0.901138,1,0,1,0,0
16829,8.52239,7.67399,4,5,4.16341,3.05861,"2018-10-16 11:19:14","2018-11-27 11:21:35",-0.8484,1,-1.1048,0,1,0,0,1
16830,8.11533,7.86092,5,5,3.37174,3.24553,"2018-10-16 11:19:57","2018-11-27 11:17:02",-0.25441,0,-0.12621,0,0,0,0,1
16831,7.89662,9.22013,5,5,3.02482,4.34833,"2018-10-16 11:22:55","2018-11-27 11:20:32",1.32351,0,1.32351,1,0,1,0,1
16832,8.03812,8.32187,5,5,3.16633,3.45008,"2018-10-16 11:23:08","2018-11-27 11:18:42",0.283750000000001,0,0.28375,1,0,1,0,1
16833,8.21211,7.65974,5,4,3.59673,3.17256,"2018-10-16 11:20:06","2018-11-27 11:18:47",-0.552369999999999,-1,-0.42417,0,0,0,0,1
16834,7.75284,6.84944,5,5,2.88104,2.10585,"2018-10-16 11:24:43","2018-11-27 11:20:14",-0.9034,0,-0.77519,0,0,0,0,0
16835,6.51992,5.59645,5,4,1.90453,1.36569,"2018-10-16 11:25:29","2018-11-27 11:24:24",-0.92347,-1,-0.53884,0,0,0,0,0
16836,7.33877,8.61961,5,5,2.59518,3.61961,"2018-10-16 11:22:05","2018-11-27 11:32:43",1.28084,0,1.02443,1,0,1,0,1
16838,6.43138,7.75294,4,5,2.32881,3.0161,"2018-10-16 11:21:59","2018-11-27 11:18:26",1.32156,1,0.68729,1,1,1,1,1
16839,6.26106,6.37784,5,4,1.64568,1.89066,"2018-10-16 11:29:34","2018-12-04 11:20:17",0.11678,-1,0.24498,1,0,1,0,0
16840,8.20968,8.02819,5,5,3.46609,3.2846,"2018-10-23 11:26:41","2018-11-27 11:24:34",-0.18149,0,-0.18149,0,0,0,0,1
16841,8.38926,5.25734,4,4,4.15849,1.04682,"2018-10-23 11:40:07","2018-11-27 11:19:16",-3.13192,0,-3.11167,0,0,0,0,0
16842,2.4359,3.94737,2,4,2.71944,3.36832,"2018-10-23 11:20:11","2018-11-27 11:20:28",1.51147,2,0.64888,1,1,1,1,0
16843,8.9144,8.26498,5,5,4.17081,3.26498,"2018-10-16 11:23:45","2018-11-27 11:18:12",-0.649420000000001,0,-0.90583,0,0,0,0,1
16844,8.11749,8.15968,5,5,3.5021,3.28789,"2018-10-16 11:22:52","2018-11-27 11:20:01",0.0421899999999997,0,-0.21421,1,0,0,0,1
16845,7.56521,7.0024,4,5,3.33444,2.0024,"2018-10-16 12:49:09","2018-11-27 12:42:53",-0.562810000000001,1,-1.33204,0,1,0,0,0
16846,7.07982,7.53746,5,5,2.33623,2.66566,"2018-10-16 12:59:46","2018-11-27 12:46:16",0.45764,0,0.32943,1,0,1,0,1
16847,0,3.58974,4,4,0,0,"2018-10-16 13:01:26","2018-11-27 12:49:26",3.58974,0,0,1,0,0,0,0
16848,7.33027,8.03812,5,5,2.45847,3.16633,"2018-10-16 12:50:54","2018-11-27 12:45:48",0.70785,0,0.70786,1,0,1,0,1
16850,6.57337,6.65009,4,4,2.34261,2.16291,"2018-10-16 12:56:19","2018-11-27 12:47:48",0.0767199999999999,0,-0.1797,1,0,0,0,0
16851,2.05128,2.17949,2,2,3.63692,3.70562,"2018-10-16 13:01:34","2018-11-27 12:42:29",0.12821,0,0.0687000000000002,1,0,1,0,0
16852,8.21146,5.88418,5,4,3.46787,1.65342,"2018-10-16 12:53:04","2018-11-27 12:45:25",-2.32728,-1,-1.81445,0,0,0,0,0
16853,3.97436,6.53748,4,4,4.14869,2.30671,"2018-10-30 12:52:52","2018-11-27 12:43:53",2.56312,0,-1.84198,1,0,0,0,0
16854,8.78727,3.20513,5,3,4.04368,5,"2018-10-16 12:45:50","2018-11-27 12:54:14",-5.58214,-2,0.95632,0,0,1,0,0
16855,7.15352,7.49506,5,5,2.28173,2.87968,"2018-10-16 12:55:35","2018-11-27 12:43:37",0.341539999999999,0,0.59795,1,0,1,0,1
16856,2.4359,3.97436,2,4,3.45362,3.2715,"2018-10-16 12:56:31","2018-11-27 12:43:26",1.53846,2,-0.18212,1,1,0,0,0
16857,5,8.51397,5,5,0,3.77038,"2018-10-16 13:10:34","2018-11-27 12:42:52",3.51397,0,3.77038,1,0,1,0,1
16858,6.18846,6.42768,4,4,2.0859,1.9405,"2018-10-16 12:52:20","2018-11-27 12:44:04",0.23922,0,-0.1454,1,0,0,0,0
16859,7.02229,8.07132,4,5,2.79152,3.32773,"2018-10-16 12:52:15","2018-11-27 12:43:07",1.04903,1,0.53621,1,1,1,1,1
16860,3.97436,8.22466,4,5,2.75647,3.22466,"2018-10-16 12:52:59","2018-11-27 12:43:04",4.2503,1,0.46819,1,1,1,1,1
16861,8.35301,6.00775,5,4,3.35301,1.64877,"2018-10-16 12:51:31","2018-11-27 12:52:23",-2.34526,-1,-1.70424,0,0,0,0,0
16862,8.41738,7.10866,4,5,3.9302,2.36507,"2018-10-16 12:53:16","2018-11-27 12:46:16",-1.30872,1,-1.56513,0,1,0,0,0
16863,3.84615,6.84758,4,4,2.95597,2.61681,"2018-10-16 13:00:45","2018-11-27 12:48:13",3.00143,0,-0.33916,1,0,0,0,0
16864,8.63602,8.40019,5,5,3.76423,3.78481,"2018-10-16 12:53:35","2018-11-27 12:42:50",-0.23583,0,0.0205799999999998,0,0,1,0,1
16865,7.27023,3.94737,4,4,2.91126,4.43028,"2018-10-16 12:57:05","2018-11-27 12:46:43",-3.32286,0,1.51902,0,0,1,0,0
