"","userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","DiffScore","DiffAccuracy","DiffRT"
"73",17072,6.79285,7.27717,4,5,2.30567,2.77717,0.48432,1,0.4715
"74",17073,6.66977,7.30554,4,5,2.18259,2.56195,0.63577,1,0.37936
"75",17074,7.01519,7.20543,5,5,2.1434,2.46184,0.19024,0,0.31844
"76",17075,6.58921,5,4,5,2.10203,0,-1.58921,1,-2.10203
"77",17076,2.05128,3.33333,2,3,2.44951,2.75518,1.28205,1,0.30567
"78",17077,3.66667,6.53539,4,4,2.36185,2.30462,2.86872,0,-0.0572300000000001
"79",17083,7.69332,7.56551,5,5,3.07793,2.69051,-0.12781,0,-0.38742
"80",17083,6.94048,7.56551,5,5,2.34048,2.69051,0.62503,0,0.35003
"81",17084,0,7.89662,5,5,0,3.02482,7.89662,0,3.02482
"82",17084,6.9782,7.89662,4,5,2.61922,3.02482,0.91842,1,0.4056
"83",17085,7.59122,7.63283,5,5,2.97583,2.88924,0.0416100000000004,0,-0.0865900000000002
"84",17085,8.67338,7.63283,5,5,4.00671,2.88924,-1.04055,0,-1.11747
"85",17086,7.43751,8.10169,4,5,2.95033,3.3581,0.66418,1,0.40777
"86",17087,6.78215,7.94079,4,5,2.55138,3.06899,1.15864,1,0.51761
"87",17087,3.04348,7.94079,3,5,1.3147,3.06899,4.89731,2,1.75429
"88",17088,6.55958,7.1278,5,5,1.68778,2.25601,0.568219999999999,0,0.56823
"89",17089,7.49234,7.34921,5,4,2.74875,2.86203,-0.14313,-1,0.11328
"90",17089,6.77144,7.34921,5,4,2.15606,2.86203,0.57777,-1,0.70597
"91",17090,7.90831,8.34862,5,5,3.03652,3.47683,0.44031,0,0.44031
"92",17091,6.99755,7.32684,5,5,2.25396,2.58325,0.329289999999999,0,0.32929
"93",17092,4.48718,6.579,4,5,0,1.96362,2.09182,1,1.96362
"94",17093,9.36282,8.85831,5,5,4.61923,4.11472,-0.50451,0,-0.50451
"95",17094,8.12561,7.46049,5,5,3.38202,2.7169,-0.66512,0,-0.66512
"96",17095,7.05869,7.14544,5,4,2.3151,2.65826,0.0867499999999994,-1,0.34316
"97",17096,3.20513,3.07692,3,3,4.03438,3.20399,-0.12821,0,-0.83039
"98",17097,7.47416,8.10045,5,5,2.60236,3.10045,0.62629,0,0.49809
"99",17098,7.59978,7.8053,5,5,2.9844,2.9335,0.20552,0,-0.0508999999999999
"100",17099,6.88548,7.42435,5,5,1.88548,2.55255,0.538869999999999,0,0.66707
"101",17100,6.42238,6.46196,4,4,1.9352,2.10299,0.0395799999999999,0,0.16779
"102",17132,7.57985,7.61798,5,5,2.96446,2.74619,0.0381299999999998,0,-0.21827
"103",17133,7.32233,7.51039,4,5,2.83515,2.7668,0.18806,1,-0.0683500000000001
"104",17134,8.60147,7.36754,5,4,3.72968,3.26498,-1.23393,-1,-0.4647
"105",17135,6.93222,7.3079,4,5,2.44504,2.56431,0.37568,1,0.11927
"106",17136,2.4359,6.91333,2,4,2.77978,2.42615,4.47743,2,-0.35363
"107",17137,6.75684,3.71795,5,4,2.14146,0,-3.03889,-1,-2.14146
"108",17138,7.28657,8.54378,4,5,2.79939,3.67198,1.25721,1,0.87259
"109",17139,6.57455,6.35291,4,4,2.47199,1.86573,-0.221640000000001,0,-0.60626
"110",17140,7.00605,8.01119,5,5,2.00605,3.39581,1.00514,0,1.38976
"111",17141,7.78238,6.63598,5,5,2.78238,1.89239,-1.1464,0,-0.88999
"112",17142,2.05128,6.84597,2,5,3.21987,2.23058,4.79469,3,-0.98929
"113",17143,6.52704,7.6725,4,5,2.29627,2.80071,1.14546,1,0.50444
"114",17144,7.18259,6.34523,5,4,2.18259,2.11446,-0.83736,-1,-0.06813
