"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime.x","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime.y"
268,16811,"PUF18","dccs",5.87744,4,1.39026,"2018-10-16 09:57:02",1013,"FA18UCpost","dccs",7.46973,5,2.46973,"2018-12-04 09:50:03"
267,16812,"PUF18","dccs",7.52388,5,2.90849,"2018-10-16 09:55:59",1012,"FA18UCpost","dccs",7.7407,5,3.13544,"2018-11-27 09:59:54"
266,16813,"PUF18","dccs",8.03807,5,3.29448,"2018-10-16 09:56:41",1011,"FA18UCpost","dccs",5,5,0,"2018-11-27 09:55:08"
265,16814,"PUF18","dccs",8.83365,5,4.21826,"2018-10-16 09:53:54",1009,"FA18UCpost","dccs",8.85917,5,4.2539,"2018-11-27 09:53:19"
264,16815,"PUF18","dccs",7.86092,5,3.24553,"2018-10-16 09:54:01",1008,"FA18UCpost","dccs",3.75,4,0.215158,"2018-11-27 09:58:15"
263,16816,"PUF18","dccs",7.96772,5,3.09593,"2018-10-16 09:53:46",1005,"FA18UCpost","dccs",9.08128,5,4.08128,"2018-11-27 10:09:08"
262,16817,"PUF18","dccs",3.07692,3,2.16683,"2018-10-16 09:59:31",1004,"FA18UCpost","dccs",7.49748,5,2.75389,"2018-12-04 09:46:22"
261,16818,"PUF18","dccs",7.04375,5,2.42837,"2018-10-16 09:58:38",1003,"FA18UCpost","dccs",7.63744,5,2.63744,"2018-11-27 10:03:48"
259,16820,"PUF18","dccs",8.20624,5,3.33444,"2018-10-16 11:22:20",1002,"FA18UCpost","dccs",8.9121,5,4.04368,"2018-11-27 11:20:05"
258,16821,"PUF18","dccs",8.01514,4,3.91258,"2018-10-16 11:22:23",1001,"FA18UCpost","dccs",0,4,0,"2018-11-27 11:24:35"
257,16822,"PUF18","dccs",3.97436,4,4.90096,"2018-10-16 11:23:25",1000,"FA18UCpost","dccs",7.59334,5,2.99875,"2018-11-27 11:20:23"
256,16823,"PUF18","dccs",8.85843,5,3.85843,"2018-10-16 11:29:08",999,"FA18UCpost","dccs",5,5,0,"2018-11-27 11:33:59"
255,16824,"PUF18","dccs",7.13292,5,2.26113,"2018-10-16 11:22:02",998,"FA18UCpost","dccs",7.45381,5,2.84855,"2018-11-27 11:18:26"
254,16825,"PUF18","dccs",2.05128,2,2.83382,"2018-10-16 11:21:59",997,"FA18UCpost","dccs",7.35485,4,2.99587,"2018-11-27 11:19:27"
253,16826,"PUF18","dccs",8.36495,4,3.87777,"2018-10-16 11:27:48",996,"FA18UCpost","dccs",8.33781,5,3.33781,"2018-11-27 11:19:12"
252,16827,"PUF18","dccs",3.75,4,0.606912,"2018-10-16 11:23:51",995,"FA18UCpost","dccs",5.61061,4,1.50805,"2018-11-27 11:26:18"
250,16829,"PUF18","dccs",8.52239,4,4.16341,"2018-10-16 11:19:14",994,"FA18UCpost","dccs",7.67399,5,3.05861,"2018-11-27 11:21:35"
249,16830,"PUF18","dccs",8.11533,5,3.37174,"2018-10-16 11:19:57",993,"FA18UCpost","dccs",7.86092,5,3.24553,"2018-11-27 11:17:02"
248,16831,"PUF18","dccs",7.89662,5,3.02482,"2018-10-16 11:22:55",992,"FA18UCpost","dccs",9.22013,5,4.34833,"2018-11-27 11:20:32"
247,16832,"PUF18","dccs",8.03812,5,3.16633,"2018-10-16 11:23:08",991,"FA18UCpost","dccs",8.32187,5,3.45008,"2018-11-27 11:18:42"
246,16833,"PUF18","dccs",8.21211,5,3.59673,"2018-10-16 11:20:06",990,"FA18UCpost","dccs",7.65974,4,3.17256,"2018-11-27 11:18:47"
245,16834,"PUF18","dccs",7.75284,5,2.88104,"2018-10-16 11:24:43",989,"FA18UCpost","dccs",6.84944,5,2.10585,"2018-11-27 11:20:14"
244,16835,"PUF18","dccs",6.51992,5,1.90453,"2018-10-16 11:25:29",988,"FA18UCpost","dccs",5.59645,4,1.36569,"2018-11-27 11:24:24"
243,16836,"PUF18","dccs",7.33877,5,2.59518,"2018-10-16 11:22:05",987,"FA18UCpost","dccs",8.61961,5,3.61961,"2018-11-27 11:32:43"
241,16838,"PUF18","dccs",6.43138,4,2.32881,"2018-10-16 11:21:59",986,"FA18UCpost","dccs",7.75294,5,3.0161,"2018-11-27 11:18:26"
240,16839,"PUF18","dccs",6.26106,5,1.64568,"2018-10-16 11:29:34",985,"FA18UCpost","dccs",6.37784,4,1.89066,"2018-12-04 11:20:17"
239,16840,"PUF18","dccs",8.20968,5,3.46609,"2018-10-23 11:26:41",984,"FA18UCpost","dccs",8.02819,5,3.2846,"2018-11-27 11:24:34"
238,16841,"PUF18","dccs",8.38926,4,4.15849,"2018-10-23 11:40:07",983,"FA18UCpost","dccs",5.25734,4,1.04682,"2018-11-27 11:19:16"
237,16842,"PUF18","dccs",2.4359,2,2.71944,"2018-10-23 11:20:11",982,"FA18UCpost","dccs",3.94737,4,3.36832,"2018-11-27 11:20:28"
236,16843,"PUF18","dccs",8.9144,5,4.17081,"2018-10-16 11:23:45",981,"FA18UCpost","dccs",8.26498,5,3.26498,"2018-11-27 11:18:12"
235,16844,"PUF18","dccs",8.11749,5,3.5021,"2018-10-16 11:22:52",980,"FA18UCpost","dccs",8.15968,5,3.28789,"2018-11-27 11:20:01"
234,16845,"PUF18","dccs",7.56521,4,3.33444,"2018-10-16 12:49:09",979,"FA18UCpost","dccs",7.0024,5,2.0024,"2018-11-27 12:42:53"
233,16846,"PUF18","dccs",7.07982,5,2.33623,"2018-10-16 12:59:46",978,"FA18UCpost","dccs",7.53746,5,2.66566,"2018-11-27 12:46:16"
232,16847,"PUF18","dccs",0,4,0,"2018-10-16 13:01:26",977,"FA18UCpost","dccs",3.58974,4,0,"2018-11-27 12:49:26"
231,16848,"PUF18","dccs",7.33027,5,2.45847,"2018-10-16 12:50:54",976,"FA18UCpost","dccs",8.03812,5,3.16633,"2018-11-27 12:45:48"
230,16850,"PUF18","dccs",6.57337,4,2.34261,"2018-10-16 12:56:19",975,"FA18UCpost","dccs",6.65009,4,2.16291,"2018-11-27 12:47:48"
229,16851,"PUF18","dccs",2.05128,2,3.63692,"2018-10-16 13:01:34",974,"FA18UCpost","dccs",2.17949,2,3.70562,"2018-11-27 12:42:29"
227,16852,"PUF18","dccs",8.21146,5,3.46787,"2018-10-16 12:53:04",973,"FA18UCpost","dccs",5.88418,4,1.65342,"2018-11-27 12:45:25"
226,16853,"PUF18","dccs",3.97436,4,4.14869,"2018-10-30 12:52:52",972,"FA18UCpost","dccs",6.53748,4,2.30671,"2018-11-27 12:43:53"
225,16854,"PUF18","dccs",8.78727,5,4.04368,"2018-10-16 12:45:50",971,"FA18UCpost","dccs",3.20513,3,5,"2018-11-27 12:54:14"
224,16855,"PUF18","dccs",7.15352,5,2.28173,"2018-10-16 12:55:35",970,"FA18UCpost","dccs",7.49506,5,2.87968,"2018-11-27 12:43:37"
223,16856,"PUF18","dccs",2.4359,2,3.45362,"2018-10-16 12:56:31",969,"FA18UCpost","dccs",3.97436,4,3.2715,"2018-11-27 12:43:26"
222,16857,"PUF18","dccs",5,5,0,"2018-10-16 13:10:34",968,"FA18UCpost","dccs",8.51397,5,3.77038,"2018-11-27 12:42:52"
221,16858,"PUF18","dccs",6.18846,4,2.0859,"2018-10-16 12:52:20",967,"FA18UCpost","dccs",6.42768,4,1.9405,"2018-11-27 12:44:04"
220,16859,"PUF18","dccs",7.02229,4,2.79152,"2018-10-16 12:52:15",966,"FA18UCpost","dccs",8.07132,5,3.32773,"2018-11-27 12:43:07"
219,16860,"PUF18","dccs",3.97436,4,2.75647,"2018-10-16 12:52:59",964,"FA18UCpost","dccs",8.22466,5,3.22466,"2018-11-27 12:43:04"
218,16861,"PUF18","dccs",8.35301,5,3.35301,"2018-10-16 12:51:31",965,"FA18UCpost","dccs",6.00775,4,1.64877,"2018-11-27 12:52:23"
217,16862,"PUF18","dccs",8.41738,4,3.9302,"2018-10-16 12:53:16",962,"FA18UCpost","dccs",7.10866,5,2.36507,"2018-11-27 12:46:16"
216,16863,"PUF18","dccs",3.84615,4,2.95597,"2018-10-16 13:00:45",961,"FA18UCpost","dccs",6.84758,4,2.61681,"2018-11-27 12:48:13"
215,16864,"PUF18","dccs",8.63602,5,3.76423,"2018-10-16 12:53:35",960,"FA18UCpost","dccs",8.40019,5,3.78481,"2018-11-27 12:42:50"
214,16865,"PUF18","dccs",7.27023,4,2.91126,"2018-10-16 12:57:05",959,"FA18UCpost","dccs",3.94737,4,4.43028,"2018-11-27 12:46:43"
213,16866,"PUF18","dccs",6.63127,4,2.38127,"2018-10-16 12:50:39",958,"FA18UCpost","dccs",6.84399,5,1.96899,"2018-11-27 12:46:56"
212,16867,"PUF18","dccs",7.4681,5,2.72451,"2018-10-16 12:49:32",957,"FA18UCpost","dccs",8.05131,5,3.30772,"2018-11-27 12:42:51"
211,16868,"PUF18","dccs",6.79757,5,2.05398,"2018-10-23 12:47:49",956,"FA18UCpost","dccs",7.41668,5,2.67309,"2018-11-27 12:45:35"
210,16870,"PUF18","dccs",6.6815,5,1.6815,"2018-10-16 13:40:09",955,"FA18UCpost","dccs",6.054,4,1.56682,"2018-11-27 13:38:14"
209,16871,"PUF18","dccs",8.81396,5,3.81396,"2018-10-16 13:41:05",954,"FA18UCpost","dccs",7.58677,5,2.84318,"2018-11-27 13:33:37"
208,16872,"PUF18","dccs",7.35542,5,2.35542,"2018-10-16 13:42:35",953,"FA18UCpost","dccs",7.24673,5,2.63135,"2018-11-27 13:33:26"
207,16873,"PUF18","dccs",7.46301,4,2.97583,"2018-10-16 13:36:03",952,"FA18UCpost","dccs",7.94125,5,3.19766,"2018-11-27 13:27:59"
206,16874,"PUF18","dccs",7.35456,4,3.25199,"2018-10-16 13:34:15",951,"FA18UCpost","dccs",7.8368,4,3.34962,"2018-11-27 13:27:39"
205,16875,"PUF18","dccs",7.93726,4,3.45008,"2018-10-16 13:33:40",950,"FA18UCpost","dccs",7.82051,5,2.82051,"2018-11-27 13:26:40"
204,16876,"PUF18","dccs",3.46154,3,2.81521,"2018-10-16 13:39:21",949,"FA18UCpost","dccs",6.55446,4,2.19549,"2018-11-27 13:34:59"
