"","accessCode","userID","fastestRT_user","highestLevel_user","highestLevelTrialCount_user","trialCount_user","nLevels_user","timePlayed_difficulty","HITS_user","Hit_AvgRT_user","Hit_SDRT_user","MISSED_user","Miss_AvgRT_user","Miss_SDRT_user","WRONG_user","Wrong_AvgRT_user","Wrong_SDRT_user","first_count","first_count_correct","RuleChange_Accuracy_Pct","2","HITS_comp_1","HITS_comp_2","HITS_comp_3","HITS_comp_4","HITS_comp_5","HITS_comp_6","HITS_comp_7","HITS_comp_8","Hit_AvgRT_comp_1","Hit_AvgRT_comp_2","Hit_AvgRT_comp_3","Hit_AvgRT_comp_4","Hit_AvgRT_comp_5","Hit_AvgRT_comp_6","Hit_AvgRT_comp_7","Hit_AvgRT_comp_8","Hit_SDRT_comp_1","Hit_SDRT_comp_2","Hit_SDRT_comp_3","Hit_SDRT_comp_4","Hit_SDRT_comp_5","Hit_SDRT_comp_6","Hit_SDRT_comp_7","Hit_SDRT_comp_8","complexityTrialCount_1","complexityTrialCount_2","complexityTrialCount_3","complexityTrialCount_4","complexityTrialCount_5","complexityTrialCount_6","complexityTrialCount_7","complexityTrialCount_8","Complexity_Hits_1","Complexity_Hits_2","Complexity_Hits_3","Complexity_Hits_4","Complexity_Hits_5","Complexity_Hits_6","Complexity_Hits_7","Complexity_Hits_8","Accuracy_Pct_comp_1","Accuracy_Pct_comp_2","Accuracy_Pct_comp_3","Accuracy_Pct_comp_4","Accuracy_Pct_comp_5","Accuracy_Pct_comp_6","Accuracy_Pct_comp_7","Accuracy_Pct_comp_8","count_afterWrong_HIT","count_afterWrong_MISSED","count_afterWrong_WRONG","count_afterWrong_NA","avgRT_afterWrong_HIT","avgRT_afterWrong_MISSED","avgRT_afterWrong_WRONG","avgRT_afterWrong_NA","n_afterWrong","accuracy_afterWrong","highestLevelPct_user","percentCorrect_user","HitRate_user","FARate_user","DPrime_user"
"11","ATHBF18","16878",0,"SpaceCakesLevel 3-2-0",30,3429,33,"7351",3125,1.589644810304,0.986121714854858,14,2.76611657142857,0.883253736702994,290,2.03139260727586,1.48378980296925,18,14,1,2,438,1300,647,584,156,NA,NA,NA,1.21759862853881,1.46530117661538,1.35130946290572,2.1531110609589,2.54952705897436,NA,NA,NA,0.681908200028144,0.832883400460846,0.755147819670058,1.20814202178571,1.31398172320097,NA,NA,NA,449,1380,770,640,190,NA,NA,NA,438,1300,647,584,156,NA,NA,NA,0.975501113585746,0.942028985507246,0.84025974025974,0.9125,0.821052631578947,NA,NA,NA,168,2,120,NA,2.21580474107143,2.877988,2.08635125583333,NA,290,0.579310344827586,1,91,0.91,0.08,2.74582659399985
"12","ATHBF18","16881",0.05007,"SpaceCakesLevel 3-1-0",40,2454,27,"5977",2097,1.17152951425846,0.534767191813764,14,0.610120428571429,0.97803801236437,343,1.2345499003207,0.698319178457484,17,10,1,2,226,795,336,603,137,NA,NA,NA,1.04363462831858,1.20719373207547,0.867502327678571,1.2927904318408,1.3874710649635,NA,NA,NA,0.470873069267488,0.601018169354069,0.326889311975759,0.482091476995346,0.514338129750988,NA,NA,NA,249,885,401,759,160,NA,NA,NA,226,795,336,603,137,NA,NA,NA,0.907630522088353,0.898305084745763,0.837905236907731,0.794466403162055,0.85625,NA,NA,NA,248,NA,95,NA,1.40372706290323,NA,1.33249976736842,NA,343,0.723032069970845,2,85,0.85,0.14,2.11675273030875
"13","ATHBF18","16884",0,"SpaceCakesLevel 4-3-0",33,2267,33,"5143",1933,1.61716799249871,0.836691184339296,8,0.968547,1.39179387001883,326,1.52262070432515,1.01229400132969,24,21,1,2,202,324,362,539,230,276,NA,NA,1.13613912574257,1.43829501018519,1.07825139198895,1.82382029962894,1.9296874726087,2.22204267644928,NA,NA,0.420774608871575,0.793606623706095,0.406978269193924,0.724050851275697,0.692709846119782,1.13306364463914,NA,NA,240,380,429,620,260,338,NA,NA,202,324,362,539,230,276,NA,NA,0.841666666666667,0.852631578947368,0.843822843822844,0.869354838709677,0.884615384615385,0.816568047337278,NA,NA,246,1,77,2,2.03240854430894,1.3709,1.2880881961039,NA,324,0.759259259259259,1,85,0.85,0.14,2.11675273030875
"14","ATHBF18","16887",0,"SpaceCakesLevel 3-2-1",50,3091,33,"6938",2643,1.43354582032539,0.740069967932642,18,1.74632621666667,1.28150501219947,430,1.56896761604651,0.910191697514948,18,14,1,2,226,1060,378,696,283,NA,NA,NA,1.20381429336283,1.29242916981132,1.12376222089947,1.75783645778736,1.7617963204947,NA,NA,NA,0.55748499881556,0.702558544995464,0.515034329643005,0.779176161076392,0.751942926464102,NA,NA,NA,240,1170,431,900,350,NA,NA,NA,226,1060,378,696,283,NA,NA,NA,0.941666666666667,0.905982905982906,0.877030162412993,0.773333333333333,0.808571428571429,NA,NA,NA,311,5,114,NA,1.81345595790997,1.38490598,1.55168138157895,NA,430,0.723255813953488,2,86,0.85,0.14,2.11675273030875
"15","ATHBF18","16890",0.03425,"SpaceCakesLevel 3-2-0",60,2134,42,"4764",1752,1.58759673618721,0.913900336767766,43,0.9878282,1.19020054840575,339,1.79169253746313,1.16848863571112,16,16,1,2,156,616,534,331,115,NA,NA,NA,1.54030714679487,1.35831255,1.32638872153558,2.25895854259819,2.16047114086957,NA,NA,NA,0.796368881174553,0.721613251875083,0.745914599064329,1.05282424148722,1.04911180163155,NA,NA,NA,180,708,666,440,140,NA,NA,NA,156,616,534,331,115,NA,NA,NA,0.866666666666667,0.870056497175141,0.801801801801802,0.752272727272727,0.821428571428571,NA,NA,NA,230,3,105,1,1.89704966913043,0.9901967,2.02841452285714,NA,338,0.680473372781065,3,82,0.82,0.16,1.90982297105257
"16","ATHBF18","16896",0.01604,"SpaceCakesLevel 2-3-0",80,1399,25,"3053",949,1.45159235173867,1.02300443891961,75,1.417281352,1.52528172709872,375,1.56556017784,1.55385281057677,8,4,0,2,173,164,NA,612,NA,NA,NA,NA,0.976489615606936,1.14049604512195,NA,1.66925994591503,NA,NA,NA,NA,0.561231293905357,0.79972062084435,NA,1.10775879497453,NA,NA,NA,NA,230,210,NA,959,NA,NA,NA,NA,173,164,NA,612,NA,NA,NA,NA,0.752173913043478,0.780952380952381,NA,0.638164754953076,NA,NA,NA,NA,242,7,126,NA,1.66482349834711,2.26468185714286,1.48732787936508,NA,375,0.645333333333333,6,68,0.68,0.27,1.08051179013114
"17","ATHBF18","16899",0.150245,"SpaceCakesLevel 3-4-0",23,1999,35,"4416",1659,1.67624566473779,0.81563299408673,11,1.54092133636364,0.955702671083506,329,1.81098355288754,1.02389740587928,17,16,1,2,182,686,116,397,260,18,NA,NA,1.24527832527473,1.49513214854227,1.11978387758621,2.08709984005038,2.00902109384615,2.65395544444444,NA,NA,0.486489366862001,0.726248936633265,0.44170973585711,0.900398664372195,0.740625687761298,0.689260012881353,NA,NA,210,840,150,480,296,23,NA,NA,182,686,116,397,260,18,NA,NA,0.866666666666667,0.816666666666667,0.773333333333333,0.827083333333333,0.878378378378378,0.782608695652174,NA,NA,224,3,101,1,1.89107209107143,1.4179017,1.84707658415842,NA,328,0.682926829268293,1,83,0.83,0.16,1.94862313635595
"18","ATHBF18","16902",0.034135,"SpaceCakesLevel 2-2-1",60,1082,15,"2234",940,1.07746044808511,0.546033039470759,5,0.66086298,0.422801714837348,137,1.06716924386861,0.609516265668483,13,12,1,2,112,215,350,263,NA,NA,NA,NA,0.822221257142857,0.996248973023256,1.051316412,1.28733751711027,NA,NA,NA,NA,0.332000148020474,0.499905077641666,0.588926405977275,0.526643744676148,NA,NA,NA,NA,120,240,403,319,NA,NA,NA,NA,112,215,350,263,NA,NA,NA,NA,0.933333333333333,0.895833333333333,0.86848635235732,0.824451410658307,NA,NA,NA,NA,109,NA,28,NA,1.24677045412844,NA,1.06678106428571,NA,137,0.795620437956204,6,87,0.87,0.13,2.2527822580776
"19","ATHBF18","16908",0.08289,"SpaceCakesLevel 4-3-0",60,1832,37,"3802",1571,1.46172074493953,0.701915706332915,0,NA,NA,261,1.43022949735632,0.843591386735464,24,20,1,2,57,114,174,623,269,334,NA,NA,0.916781178947368,0.994023583333333,0.956591726436782,1.643550329374,1.47537697434944,1.62734387095808,NA,NA,0.334551455273116,0.624687173569799,0.499539167680147,0.68716475566383,0.620622806877085,0.708125818774989,NA,NA,60,120,210,722,320,400,NA,NA,57,114,174,623,269,334,NA,NA,0.95,0.95,0.828571428571429,0.862880886426593,0.840625,0.835,NA,NA,202,NA,59,NA,1.69245489009901,NA,1.48474836966102,NA,261,0.773946360153257,3,86,0.86,0.14,2.16063868162991
"20","ATHF18","16770",0,"SpaceCakesLevel 2-1-0",40,1260,20,"2952",865,1.17495520447399,1.11409469619693,81,0.419515575432099,0.67795407733884,314,0.737105717834395,1.13120286058054,12,9,1,2,213,182,124,346,NA,NA,NA,NA,1.83193287840376,1.07706377456044,0.926672719354839,0.910987065317919,NA,NA,NA,NA,1.46596439809114,0.994854862150602,0.365783582849682,0.925911407082601,NA,NA,NA,NA,260,240,140,620,NA,NA,NA,NA,213,182,124,346,NA,NA,NA,NA,0.819230769230769,0.758333333333333,0.885714285714286,0.558064516129032,NA,NA,NA,NA,181,4,129,NA,0.875649544640884,0.1874825025,0.632128237054264,NA,314,0.576433121019108,3,69,0.69,0.25,1.17034009754353
