"","accessCode","userID","fastestRT_diff_Easy","fastestRT_diff_Medium","fastestRT_diff_Difficult","highestLevel_diff_Easy","highestLevel_diff_Medium","highestLevel_diff_Difficult","highestLevelTrialCount_diff_Easy","highestLevelTrialCount_diff_Medium","highestLevelTrialCount_diff_Difficult","trialCount_diff_Easy","trialCount_diff_Medium","trialCount_diff_Difficult","nLevels_diff_Easy","nLevels_diff_Medium","nLevels_diff_Difficult","timePlayed_difficulty_Easy","timePlayed_difficulty_Medium","timePlayed_difficulty_Difficult","HITS_diff_Easy","HITS_diff_Medium","HITS_diff_Difficult","Hit_AvgRT_diff_Easy","Hit_AvgRT_diff_Medium","Hit_AvgRT_diff_Difficult","Hit_SDRT_diff_Easy","Hit_SDRT_diff_Medium","Hit_SDRT_diff_Difficult","MISSED_diff_Easy","MISSED_diff_Medium","MISSED_diff_Difficult","Miss_AvgRT_diff_Easy","Miss_AvgRT_diff_Medium","Miss_AvgRT_diff_Difficult","Miss_SDRT_diff_Easy","Miss_SDRT_diff_Medium","Miss_SDRT_diff_Difficult","WRONG_diff_Easy","WRONG_diff_Medium","WRONG_diff_Difficult","Wrong_AvgRT_diff_Easy","Wrong_AvgRT_diff_Medium","Wrong_AvgRT_diff_Difficult","Wrong_SDRT_diff_Easy","Wrong_SDRT_diff_Medium","Wrong_SDRT_diff_Difficult","highestLevelPct_diff_Easy","highestLevelPct_diff_Medium","highestLevelPct_diff_Difficult","percentCorrect_diff_Easy","percentCorrect_diff_Medium","percentCorrect_diff_Difficult","HitRate_diff_Easy","HitRate_diff_Medium","HitRate_diff_Difficult","FARate_diff_Easy","FARate_diff_Medium","FARate_diff_Difficult","DPrime_diff_Easy","DPrime_diff_Medium","DPrime_diff_Difficult"
"108","ATMBF18","17087",0,0.0164,1.735631,"SpaceCakesLevel 0-4-10","SpaceCakesLevel 3-3-0","SpaceCakesLevel 3-4-0",30,60,18,874,1056,18,16,19,1,"1210723","3024386","41",808,858,14,1.20984067462871,1.61345852808858,2.9963755,0.793358605208816,0.851484439363291,0.642838842996947,6,30,0,0.8117175,0.737553313333333,NA,0.507136321355018,1.09088256011377,NA,60,168,4,1.44483432333333,1.60141675660714,2.6320245,1.19340343022499,1.01565110186471,0.873348493844048,3,6,100,92,81,78,0.92,0.81,0.76,0.07,0.16,0.24,2.8808625884888,1.87235417826098,1.41260512568018
"109","ATMBF18","17090",0,0.10248,NA,"SpaceCakesLevel 0-4-1","SpaceCakesLevel 2-3-0",NA,30,104,NA,695,444,NA,11,7,NA,"1210174","2419737",NA,557,353,NA,1.07343538599641,1.74402743229462,NA,0.690446683885741,0.921533197921885,NA,14,4,NA,0.43207215,3.6994235,NA,0.439156783926905,1.04853489503863,NA,124,87,NA,1.27793163145161,1.68020119425287,NA,1.2160385104094,1.25472019145265,NA,4,23,NA,80,80,NA,0.8,0.79,NA,0.18,0.2,NA,1.75698632141573,1.64804248059115,NA
"110","ATMBF18","17093",0.032935,0.217185,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-1-0",NA,60,40,NA,828,1051,NA,10,15,NA,"1210353","3024279",NA,777,870,NA,0.964420265122265,1.35842492413793,NA,0.691552842586787,0.693441174604318,NA,0,14,NA,NA,1.5466975,NA,NA,1.33760036400113,NA,51,167,NA,1.20790819411765,1.23655459101796,NA,1.04062967164197,0.777782421224633,NA,7,4,NA,94,83,NA,0.94,0.83,NA,0.06,0.16,NA,3.10954718919371,1.94862313635595,NA
"111","ATMBF18","17096",0,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-1-11",NA,30,34,NA,655,935,NA,14,24,NA,"1210322","3024305",NA,508,557,NA,1.20108504450787,1.62353705764811,NA,0.955683880410525,1.63768778528233,NA,22,81,NA,0.860184463636364,1.63614611234568,NA,0.804998975132938,1.77624271460333,NA,125,297,NA,1.288344728,1.56741238188552,NA,1.43167917500707,1.62822487598041,NA,5,4,NA,78,60,NA,0.78,0.6,NA,0.19,0.32,NA,1.65008950923991,0.721045902250308,NA
"112","ATMBF18","17099",0.070895,0.066765,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0",NA,60,50,NA,704,1014,NA,12,18,NA,"1210088","3023901",NA,663,901,NA,1.5200131040724,1.98170633562708,NA,0.766930911738704,0.980665371566063,NA,0,11,NA,NA,1.80931027272727,NA,NA,1.54703195099378,NA,41,102,NA,1.84686831707317,1.87505344029412,NA,1.10603319685031,1.33540674237069,NA,9,5,NA,94,89,NA,0.94,0.89,NA,0.06,0.1,NA,3.10954718919371,2.50807968558121,NA
"113","ATMBF18","17132",0.016695,0.0165,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-4-0",NA,30,64,NA,618,564,NA,11,9,NA,"1210444","1210728",NA,490,465,NA,1.72315776877551,2.53835014924731,NA,1.17326869511148,1.06644321890268,NA,23,2,NA,0.922782422173913,1.5661,NA,1.1198309126863,0.210576399437354,NA,105,97,NA,1.92266292104762,2.53879752783505,NA,1.56524620508296,1.16528221337208,NA,5,11,NA,79,82,NA,0.79,0.82,NA,0.17,0.17,NA,1.76058650016443,1.86953034098901,NA
"114","ATMBF18","17135",0.03421,0,NA,"SpaceCakesLevel 0-4-3","SpaceCakesLevel 2-3-0",NA,30,7,NA,470,386,NA,9,5,NA,"1210140","1210969",NA,418,308,NA,1.40180031461722,2.34581262756494,NA,0.895690024670048,1.25119893335392,NA,8,3,NA,1.547550625,3.28699933333333,NA,2.45508541730029,2.89785777998168,NA,44,75,NA,2.16582334318182,1.79623046933333,NA,1.88107561321625,1.45133503450104,NA,6,2,NA,89,80,NA,0.89,0.8,NA,0.09,0.2,NA,2.56728315372683,1.68324246714583,NA
"115","ATMBF18","17138",0,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-1",NA,30,40,NA,869,580,NA,15,9,NA,"1210953","1210037",NA,679,448,NA,1.58834951706922,2.348894271875,NA,1.09953135348147,0.910621826887526,NA,19,0,NA,1.51216984263158,NA,NA,1.64206470465727,NA,NA,171,132,NA,1.52403056783626,2.09093291060606,NA,1.46666560061252,0.925968478821898,NA,3,7,NA,78,77,NA,0.78,0.77,NA,0.2,0.23,NA,1.6138144477616,1.47769369837043,NA
"116","ATMBF18","17141",0.1165,0.1503,NA,"SpaceCakesLevel 0-3-0","SpaceCakesLevel 2-3-0",NA,30,8,NA,330,585,NA,5,13,NA,"605351","1814986",NA,312,424,NA,1.29125170576923,2.71838766533019,NA,0.628201866887847,1.28983002074313,NA,0,76,NA,NA,3.33192996052632,NA,NA,2.32647337803863,NA,18,85,NA,1.35060605555556,3.14829651764706,NA,0.75079024963207,1.55811190119857,NA,9,1,NA,95,72,NA,0.94,0.72,NA,0.06,0.15,NA,3.10954718919371,1.61927489676501,NA
"117","ATMBF18","17144",0,0,NA,"SpaceCakesLevel 0-2-2","SpaceCakesLevel 2-2-2",NA,60,11,NA,370,531,NA,5,10,NA,"604671","1209940",NA,301,360,NA,1.09161253860465,1.78109112858333,NA,0.614207264746586,1.00715980227399,NA,2,20,NA,1.2092875,1.19472002,NA,0.531111438883122,1.41044597534233,NA,67,151,NA,1.04634130895522,1.36497864715232,NA,0.807004477905326,1.09391325605303,NA,16,2,NA,81,68,NA,0.81,0.68,NA,0.18,0.28,NA,1.79326138289404,1.05054030638572,NA
