"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
401,17065,"PUF18","dccs",7.82751,5,3.08392
400,17066,"PUF18","dccs",3.46154,3,1.21492
399,17067,"PUF18","dccs",2.5,3,3.72766
398,17067,"PUF18","dccs",3.625,4,2.82184
397,17068,"PUF18","dccs",7.53218,5,2.9168
396,17069,"PUF18","dccs",5.91966,4,1.6604
395,17069,"PUF18","dccs",2.125,2,1.54091
394,17070,"PUF18","dccs",6.86398,4,2.505
393,17071,"PUF18","dccs",7.51909,4,3.16012
392,17072,"PUF18","dccs",6.79285,4,2.30567
391,17073,"PUF18","dccs",6.66977,4,2.18259
390,17074,"PUF18","dccs",7.01519,5,2.1434
389,17075,"PUF18","dccs",6.58921,4,2.10203
388,17076,"PUF18","dccs",2.05128,2,2.44951
387,17077,"PUF18","dccs",3.66667,4,2.36185
386,17083,"PUF18","dccs",7.69332,5,3.07793
385,17083,"PUF18","dccs",6.94048,5,2.34048
384,17084,"PUF18","dccs",0,5,0
383,17084,"PUF18","dccs",6.9782,4,2.61922
382,17085,"PUF18","dccs",7.59122,5,2.97583
381,17085,"PUF18","dccs",8.67338,5,4.00671
380,17086,"PUF18","dccs",7.43751,4,2.95033
379,17087,"PUF18","dccs",6.78215,4,2.55138
378,17087,"PUF18","dccs",3.04348,3,1.3147
377,17088,"PUF18","dccs",6.55958,5,1.68778
376,17089,"PUF18","dccs",7.49234,5,2.74875
375,17089,"PUF18","dccs",6.77144,5,2.15606
374,17090,"PUF18","dccs",7.90831,5,3.03652
373,17091,"PUF18","dccs",6.99755,5,2.25396
372,17092,"PUF18","dccs",4.48718,4,0
371,17093,"PUF18","dccs",9.36282,5,4.61923
370,17094,"PUF18","dccs",8.12561,5,3.38202
369,17095,"PUF18","dccs",7.05869,5,2.3151
368,17096,"PUF18","dccs",3.20513,3,4.03438
367,17097,"PUF18","dccs",7.47416,5,2.60236
366,17098,"PUF18","dccs",7.59978,5,2.9844
365,17099,"PUF18","dccs",6.88548,5,1.88548
364,17100,"PUF18","dccs",6.42238,4,1.9352
363,17132,"PUF18","dccs",7.57985,5,2.96446
362,17133,"PUF18","dccs",7.32233,4,2.83515
361,17134,"PUF18","dccs",8.60147,5,3.72968
360,17135,"PUF18","dccs",6.93222,4,2.44504
359,17136,"PUF18","dccs",2.4359,2,2.77978
358,17137,"PUF18","dccs",6.75684,5,2.14146
357,17138,"PUF18","dccs",7.28657,4,2.79939
356,17139,"PUF18","dccs",6.57455,4,2.47199
355,17140,"PUF18","dccs",7.00605,5,2.00605
354,17141,"PUF18","dccs",7.78238,5,2.78238
353,17142,"PUF18","dccs",2.05128,2,3.21987
352,17143,"PUF18","dccs",6.52704,4,2.29627
351,17144,"PUF18","dccs",7.18259,5,2.18259
350,17144,"PUF18","dccs",6.44322,5,1.69963
349,17145,"PUF18","dccs",6.82426,5,1.82426
348,17146,"PUF18","dccs",2.17949,2,3.4483
347,17147,"PUF18","dccs",7.20484,5,2.33305
346,17149,"PUF18","dccs",3.84615,4,0.346104
345,17150,"PUF18","dccs",7.67483,4,3.54983
344,17150,"PUF18","dccs",5,5,0
343,17151,"PUF18","dccs",8.5201,5,3.8951
342,17156,"PUF18","dccs",2.5641,3,3.63306
341,17157,"PUF18","dccs",7.11544,4,2.75647
340,17157,"PUF18","dccs",0,4,0
339,17158,"PUF18","dccs",7.8306,5,2.9588
338,17159,"PUF18","dccs",6.83775,4,2.47878
337,17160,"PUF18","dccs",2.17949,2,0.462495
336,17161,"PUF18","dccs",2.17949,2,2.68178
335,17162,"PUF18","dccs",5,5,0
334,17162,"PUF18","dccs",3.46154,3,1.68857
333,17163,"PUF18","dccs",3.71795,4,0
332,17164,"PUF18","dccs",7.78629,5,2.78629
331,17165,"PUF18","dccs",2.5641,3,2.31826
330,17166,"PUF18","dccs",3.97436,4,2.57376
329,17167,"PUF18","dccs",8.17777,5,3.43418
328,17168,"PUF18","dccs",3.46154,3,2.51997
327,17169,"PUF18","dccs",2.69231,3,1.18411
326,17170,"PUF18","dccs",7.31498,5,2.57139
325,17171,"PUF18","dccs",2.69231,3,0
324,17172,"PUF18","dccs",5,5,0
323,17172,"PUF18","dccs",7.2774,4,2.79022
322,17173,"PUF18","dccs",9.23077,4,5
321,17174,"PUF18","dccs",3.52941,4,3.39927
320,17174,"PUF18","dccs",3.71795,4,2.49128
319,17175,"PUF18","dccs",2.05128,2,2.64599
318,17344,"PUF18","dccs",7.73979,5,2.73979
317,17343,"PUF18","dccs",6.97864,4,2.67309
316,17343,"PUF18","dccs",8.0853,5,3.2135
315,17345,"PUF18","dccs",7.79872,5,3.06899
314,17345,"PUF18","dccs",8.0506,5,3.17881
313,17346,"PUF18","dccs",7.50988,5,2.90988
312,17346,"PUF18","dccs",7.96987,5,3.21987
311,17347,"PUF18","dccs",2.82051,3,3.55354
310,17347,"PUF18","dccs",8.22324,5,3.47324
309,8291,"PUF18","dccs",8.16627,5,3.29448
308,16770,"PUF18","dccs",8.30115,5,3.68577
307,16771,"PUF18","dccs",7.0958,5,2.35221
306,16772,"PUF18","dccs",8.29719,5,3.4254
305,16773,"PUF18","dccs",7.88364,5,3.14005
304,16774,"PUF18","dccs",6.99032,4,2.63135
303,16775,"PUF18","dccs",7.52575,5,2.52575
302,16776,"PUF18","dccs",9.13407,5,4.13407
301,16777,"PUF18","dccs",7.26471,4,2.90573
300,16778,"PUF18","dccs",3.71795,4,2.23666
299,16779,"PUF18","dccs",7.60837,5,2.60837
298,16780,"PUF18","dccs",6.71937,4,2.61681
297,16781,"PUF18","dccs",2.4359,2,1.95737
296,16782,"PUF18","dccs",2.5641,3,2.44727
295,16783,"PUF18","dccs",7.66071,5,3.04532
294,16784,"PUF18","dccs",7.18678,5,2.57139
293,16785,"PUF18","dccs",8.07895,5,3.20715
292,16786,"PUF18","dccs",8.17601,5,3.43242
291,16787,"PUF18","dccs",7.33103,5,2.71564
290,16788,"PUF18","dccs",7.60427,5,2.86068
289,16789,"PUF18","dccs",7.58039,4,3.34962
288,16790,"PUF18","dccs",8.32773,5,3.32773
287,16791,"PUF18","dccs",7.46936,5,2.59757
286,16792,"PUF18","dccs",7.03822,5,2.42284
285,16793,"PUF18","dccs",6.58191,4,2.35114
284,16795,"PUF18","dccs",7.80809,5,2.9363
283,16796,"PUF18","dccs",7.5447,5,2.92931
282,16797,"PUF18","dccs",4.69909,4,0.468325
281,16798,"PUF18","dccs",2.4359,2,2.40195
280,16799,"PUF18","dccs",6.96928,4,2.73851
279,16800,"PUF18","dccs",9.45189,5,4.5801
278,16801,"PUF18","dccs",7.52809,4,3.04092
277,16802,"PUF18","dccs",7.55484,5,2.81125
276,16803,"PUF18","dccs",7.53774,5,2.92235
275,16804,"PUF18","dccs",7.19321,5,2.32142
274,16805,"PUF18","dccs",7.70033,5,2.95033
273,16806,"PUF18","dccs",7.23601,5,2.49242
272,16807,"PUF18","dccs",7.60838,5,2.993
271,16808,"PUF18","dccs",6.52495,4,2.29418
270,16809,"PUF18","dccs",7.72959,5,2.72959
269,16810,"PUF18","dccs",7.38964,4,3.03066
268,16811,"PUF18","dccs",5.87744,4,1.39026
267,16812,"PUF18","dccs",7.52388,5,2.90849
266,16813,"PUF18","dccs",8.03807,5,3.29448
265,16814,"PUF18","dccs",8.83365,5,4.21826
264,16815,"PUF18","dccs",7.86092,5,3.24553
263,16816,"PUF18","dccs",7.96772,5,3.09593
262,16817,"PUF18","dccs",3.07692,3,2.16683
261,16818,"PUF18","dccs",7.04375,5,2.42837
260,16819,"PUF18","dccs",7.78998,5,2.91818
259,16820,"PUF18","dccs",8.20624,5,3.33444
258,16821,"PUF18","dccs",8.01514,4,3.91258
257,16822,"PUF18","dccs",3.97436,4,4.90096
256,16823,"PUF18","dccs",8.85843,5,3.85843
255,16824,"PUF18","dccs",7.13292,5,2.26113
254,16825,"PUF18","dccs",2.05128,2,2.83382
253,16826,"PUF18","dccs",8.36495,4,3.87777
252,16827,"PUF18","dccs",3.75,4,0.606912
251,16828,"PUF18","dccs",7.18914,5,2.57376
250,16829,"PUF18","dccs",8.52239,4,4.16341
249,16830,"PUF18","dccs",8.11533,5,3.37174
248,16831,"PUF18","dccs",7.89662,5,3.02482
247,16832,"PUF18","dccs",8.03812,5,3.16633
246,16833,"PUF18","dccs",8.21211,5,3.59673
245,16834,"PUF18","dccs",7.75284,5,2.88104
244,16835,"PUF18","dccs",6.51992,5,1.90453
243,16836,"PUF18","dccs",7.33877,5,2.59518
242,16837,"PUF18","dccs",7.84478,5,2.97298
241,16838,"PUF18","dccs",6.43138,4,2.32881
240,16839,"PUF18","dccs",6.26106,5,1.64568
239,16840,"PUF18","dccs",8.20968,5,3.46609
238,16841,"PUF18","dccs",8.38926,4,4.15849
237,16842,"PUF18","dccs",2.4359,2,2.71944
236,16843,"PUF18","dccs",8.9144,5,4.17081
235,16844,"PUF18","dccs",8.11749,5,3.5021
234,16845,"PUF18","dccs",7.56521,4,3.33444
233,16846,"PUF18","dccs",7.07982,5,2.33623
232,16847,"PUF18","dccs",0,4,0
231,16848,"PUF18","dccs",7.33027,5,2.45847
230,16850,"PUF18","dccs",6.57337,4,2.34261
229,16851,"PUF18","dccs",2.05128,2,3.63692
228,16852,"PUF18","dccs",5.36113,4,0.873952
227,16852,"PUF18","dccs",8.21146,5,3.46787
226,16853,"PUF18","dccs",3.97436,4,4.14869
225,16854,"PUF18","dccs",8.78727,5,4.04368
224,16855,"PUF18","dccs",7.15352,5,2.28173
223,16856,"PUF18","dccs",2.4359,2,3.45362
222,16857,"PUF18","dccs",5,5,0
221,16858,"PUF18","dccs",6.18846,4,2.0859
220,16859,"PUF18","dccs",7.02229,4,2.79152
219,16860,"PUF18","dccs",3.97436,4,2.75647
218,16861,"PUF18","dccs",8.35301,5,3.35301
217,16862,"PUF18","dccs",8.41738,4,3.9302
