id,userID,accessCode,task,post_nihScore,post_nihAccuracy,post_nihRTScore,,,,,,
965,16861,FA18UCpost,dccs,6.00775,4,1.64877,,,,,,
964,16860,FA18UCpost,dccs,8.22466,5,3.22466,,,,,,
963,16861,FA18UCpost,dccs,6.00775,4,1.64877,,,,,,
962,16862,FA18UCpost,dccs,7.10866,5,2.36507,,,,,,
961,16863,FA18UCpost,dccs,6.84758,4,2.61681,,,,,,
960,16864,FA18UCpost,dccs,8.40019,5,3.78481,,,,,,
959,16865,FA18UCpost,dccs,3.94737,4,4.43028,,,,,,
958,16866,FA18UCpost,dccs,6.84399,5,1.96899,,,,,,
957,16867,FA18UCpost,dccs,8.05131,5,3.30772,,,,,,
956,16868,FA18UCpost,dccs,7.41668,5,2.67309,,,,,,
955,16870,FA18UCpost,dccs,6.054,4,1.56682,,,,,,
954,16871,FA18UCpost,dccs,7.58677,5,2.84318,,,,,,
953,16872,FA18UCpost,dccs,7.24673,5,2.63135,,,,,,
952,16873,FA18UCpost,dccs,7.94125,5,3.19766,,,,,,
951,16874,FA18UCpost,dccs,7.8368,4,3.34962,,,,,,
950,16875,FA18UCpost,dccs,7.82051,5,2.82051,,,,,,
949,16876,FA18UCpost,dccs,6.55446,4,2.19549,,,,,,
948,16877,FA18UCpost,dccs,7.51045,5,2.63866,,,,,,
947,16878,FA18UCpost,dccs,7.33638,5,2.59279,,,,,,
946,16879,FA18UCpost,dccs,5.77957,5,0.907771,,,,,,
945,16880,FA18UCpost,dccs,8.62152,5,3.62152,,,,,,
944,16881,FA18UCpost,dccs,6.8915,4,2.66073,,,,,,
943,16881,FA18UCpost,dccs,6.83618,4,2.349,,,,,,
942,16882,FA18UCpost,dccs,7.49314,4,3.00596,,,,,,
941,16884,FA18UCpost,dccs,7.30554,5,2.56195,,,,,,
940,16885,FA18UCpost,dccs,3.20513,3,3.73371,,,,,,
939,16886,FA18UCpost,dccs,6.84279,4,2.59279,,,,,,
938,16887,FA18UCpost,dccs,6.82202,4,2.47991,,,,,,
937,16888,FA18UCpost,dccs,7.33609,5,2.7207,,,,,,
936,16889,FA18UCpost,dccs,7.29614,5,2.55255,,,,,,
935,16890,FA18UCpost,dccs,6.77689,4,2.67433,,,,,,
934,16896,FA18UCpost,dccs,6.62508,4,2.39431,,,,,,
933,16897,FA18UCpost,dccs,7.40645,4,3.17568,,,,,,
932,16899,FA18UCpost,dccs,7.36029,5,2.74491,,,,,,
931,16901,FA18UCpost,dccs,5.70787,4,1.4771,,,,,,
930,16903,FA18UCpost,dccs,7.97678,5,3.10498,,,,,,
929,16904,FA18UCpost,dccs,4.9806,4,0.749834,,,,,,
928,16906,FA18UCpost,dccs,8.86937,5,3.99757,,,,,,
927,16907,FA18UCpost,dccs,8.04605,5,3.43066,,,,,,
926,16908,FA18UCpost,dccs,7.88644,5,3.01465,,,,,,
925,17248,FA18UCpost,dccs,3.33333,3,3.46966,,,,,,
924,17246,FA18UCpost,dccs,2.625,3,3.2846,,,,,,
923,18652,FA18UCpost,dccs,7.37043,5,2.62043,,,,,,
922,16982,FA18UCpost,dccs,7.48829,4,3.12931,,,,,,
921,16983,FA18UCpost,dccs,8.37174,5,3.37174,,,,,,
920,16984,FA18UCpost,dccs,7.50193,5,2.63013,,,,,,
919,16985,FA18UCpost,dccs,7.81521,5,2.81521,,,,,,
918,16986,FA18UCpost,dccs,7.31768,4,3.08691,,,,,,
917,16987,FA18UCpost,dccs,7.28795,5,2.54436,,,,,,
916,16988,FA18UCpost,dccs,7.59407,5,2.97868,,,,,,
915,16990,FA18UCpost,dccs,6.92,5,2.30462,,,,,,
914,16991,FA18UCpost,dccs,6.16303,5,1.41303,,,,,,
913,16992,FA18UCpost,dccs,7.46937,5,2.72578,,,,,,
912,16993,FA18UCpost,dccs,7.47765,5,2.47765,,,,,,
911,16994,FA18UCpost,dccs,6.50237,4,2.1434,,,,,,
910,16995,FA18UCpost,dccs,5.63688,4,1.40611,,,,,,
909,16996,FA18UCpost,dccs,5.87283,4,1.51385,,,,,,
908,16998,FA18UCpost,dccs,6.899,4,2.41182,,,,,,
907,16920,FA18UCpost,dccs,4.74145,4,0.25427,,,,,,
906,16921,FA18UCpost,dccs,3.97436,4,2.55372,,,,,,
905,16922,FA18UCpost,dccs,7.81654,5,2.81654,,,,,,
904,16923,FA18UCpost,dccs,7.60022,5,2.85663,,,,,,
903,16924,FA18UCpost,dccs,7.60562,5,2.86203,,,,,,
902,16925,FA18UCpost,dccs,7.14445,5,2.40086,,,,,,
