"accessCode","userID","fastestRT_user","highestLevel_user","highestLevelTrialCount_user","trialCount_user","nLevels_user","timePlayed_difficulty","HITS_user","Hit_AvgRT_user","Hit_SDRT_user","MISSED_user","Miss_AvgRT_user","Miss_SDRT_user","WRONG_user","Wrong_AvgRT_user","Wrong_SDRT_user","first_count","first_count_correct","RuleChange_Accuracy_Pct","HITS_diff_Easy","HITS_diff_Medium","HITS_diff_Difficult","Hit_AvgRT_diff_Easy","Hit_AvgRT_diff_Medium","Hit_AvgRT_diff_Difficult","Hit_SDRT_diff_Easy","Hit_SDRT_diff_Medium","Hit_SDRT_diff_Difficult","DifficultyTrialCount_Easy","DifficultyTrialCount_Medium","DifficultyTrialCount_Difficult","Difficulty_Hits_Easy","Difficulty_Hits_Medium","Difficulty_Hits_Difficult","Accuracy_Pct_diff_Easy","Accuracy_Pct_diff_Medium","Accuracy_Pct_diff_Difficult","count_afterWrong_HIT","count_afterWrong_MISSED","count_afterWrong_WRONG","count_afterWrong_NA","avgRT_afterWrong_HIT","avgRT_afterWrong_MISSED","avgRT_afterWrong_WRONG","avgRT_afterWrong_NA","n_afterWrong","accuracy_afterWrong","highestLevelPct_user","percentCorrect_user","HitRate_user","FARate_user","DPrime_user"
"ATHBF18","16845",0.05,"SpaceCakesLevel 3-1",32,2492,38,"5382",2188,1.13381277765082,0.60630275100788,4,2.0314815,0.887349406576876,300,1.21744671033333,0.866326352224529,16,15,0.94,1416,772,NA,1.08600761822034,1.22149685246114,NA,0.550060084371788,0.689597750749068,NA,1560,932,NA,1416,772,NA,0.907692307692308,0.828326180257511,NA,235,NA,63,2,1.26122786255319,NA,1.3121185,NA,298,0.788590604026846,1,88,0.88,0.12,2.34997358413218
"ATHBF18","16848",0.0163,"SpaceCakesLevel 4-2",52,2962,32,"6517",2793,1.24224679820981,0.591542665420574,1,1.2315,NA,168,1.69715574702381,1.02725775222844,23,23,1,1316,1156,321,1.07020357218845,1.31037666539792,1.70221800996885,0.496989899582922,0.541881439244258,0.792146264487285,1350,1240,372,1316,1156,321,0.974814814814815,0.932258064516129,0.862903225806452,135,NA,33,NA,1.73557508518519,NA,1.49578378181818,NA,168,0.803571428571429,2,94,0.94,0.06,3.10954718919371
"ATHBF18","16851",0,"SpaceCakesLevel 2-2",280,1824,31,"4518",1421,0.8943991286981,0.633807650786491,8,0.4421925,0.400558161025694,395,0.882117102810127,0.937862584807203,8,2,0.25,782,639,NA,0.923540955485934,0.858735735039124,NA,0.595522851185121,0.676491414968752,NA,944,880,NA,782,639,NA,0.828389830508475,0.726136363636364,NA,274,1,120,NA,0.87364124120438,0,1.06601561508333,NA,395,0.693670886075949,15,78,0.78,0.22,1.54438642837737
"ATHBF18","16854",0,"SpaceCakesLevel 3-0",66,2145,23,"4875",1992,1.17958553022088,0.732660595109271,4,1.17616355,1.05230092644795,149,1.3131640342953,0.884032823741897,16,13,0.81,958,1034,NA,0.956294765762004,1.38646420754352,NA,0.650494385480881,0.743988836848641,NA,990,1155,NA,958,1034,NA,0.967676767676768,0.895238095238095,NA,114,1,34,NA,1.65690457894737,2.552804,1.66764938558824,NA,149,0.76510067114094,3,93,0.93,0.07,2.95158205635834
"ATHBF18","16857",0.05722,"SpaceCakesLevel 4-0",111,2380,29,"5935",2155,1.53247531313225,0.877398605141344,2,1.70137,2.40610052861471,223,1.73955612869955,1.12413811261449,21,18,0.86,858,1154,143,1.34045804184149,1.58973343492201,2.2225099020979,0.854707245885179,0.836827643493149,0.92393744637006,900,1289,191,858,1154,143,0.953333333333333,0.895267649340574,0.74869109947644,178,2,41,2,1.97590758033708,1.70137,1.71063324146341,NA,221,0.805429864253394,5,91,0.91,0.09,2.68151006738043
"ATHBF18","16860",0.01567,"SpaceCakesLevel 3-1",66,1831,26,"5039",1639,1.11754031916412,0.521893926183847,10,1.419446,0.840365948751561,182,1.14768251538462,0.627060885687716,15,14,0.93,1002,637,NA,1.03620166107784,1.24548590064364,NA,0.494667220546803,0.538093122831603,NA,1065,766,NA,1002,637,NA,0.940845070422535,0.831592689295039,NA,135,1,45,1,1.39464608,1.618435,1.12668234,NA,181,0.74585635359116,4,90,0.89,0.1,2.50807968558121
"ATHBF18","16863",0,"SpaceCakesLevel 2-3",100,2025,30,"4908",1551,1.68775299078014,1.24670259387229,133,1.02142350075188,1.36024469427598,341,1.59988765129032,1.58721605494129,10,9,0.9,1071,480,NA,1.45141723996265,2.21507713479167,NA,1.13432430553416,1.32351475493226,NA,1365,660,NA,1071,480,NA,0.784615384615385,0.727272727272727,NA,177,12,150,2,1.84105897288136,1.04431295,1.40641013926667,NA,339,0.52212389380531,5,77,0.77,0.17,1.69301210233141
"ATHBF18","16866",0,"SpaceCakesLevel 3-0",257,2189,27,"5322",1740,1.26497438574713,0.753764214255244,32,0.94020614375,0.564835689367537,417,1.22794414964029,0.909399276438836,15,11,0.73,912,828,NA,1.20823397138158,1.32747107403382,NA,0.705323128528793,0.799528252886817,NA,1082,1107,NA,912,828,NA,0.842883548983364,0.747967479674797,NA,286,7,123,1,1.3489232993007,0.743650757142857,1.2442747203252,NA,416,0.6875,12,79,0.79,0.19,1.68431754206947
"ATHBF18","16872",0,"SpaceCakesLevel 2-3",160,2228,34,"5195",1692,2.17803199036643,1.38889804597145,63,2.94799626984127,1.797440471681,473,2.38011540488372,1.60632745514015,13,9,0.69,725,967,NA,2.05052949751724,2.27362589658738,NA,1.37176211754908,1.39468324452459,NA,840,1388,NA,725,967,NA,0.863095238095238,0.696685878962536,NA,272,12,188,1,2.62683199705882,3.14119291666667,2.26667409414894,NA,472,0.576271186440678,7,76,0.76,0.21,1.51272380985833
"ATHBF18","16875",0,"SpaceCakesLevel 4-3",27,2786,31,"6929",2582,1.36098418206816,0.794563556201127,9,1.64797555555556,0.51166863480824,195,1.56167481584615,1.05360416540086,24,23,0.96,1103,1148,331,1.2276702919311,1.38379902961672,1.72610132960725,0.836001617351376,0.728639251058944,0.750743821695287,1170,1249,367,1103,1148,331,0.942735042735043,0.919135308246597,0.901907356948229,156,2,36,1,1.50538984551282,1.84327,1.57940086111111,NA,194,0.804123711340206,1,93,0.93,0.07,2.95158205635834
