"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
690,17622,"PUF18","flanker",8.23757,5,3.23757,1287,"FA18UCpost","flanker",8.10613,5,3.22517
691,17621,"PUF18","flanker",7.42205,5,2.42205,1276,"FA18UCpost","flanker",7.6504,5,2.6504
692,17620,"PUF18","flanker",3.92857,4,2.69755,1288,"FA18UCpost","flanker",6.65748,5,2.01462
693,17619,"PUF18","flanker",3.80952,4,1.34876,1289,"FA18UCpost","flanker",7.65017,5,2.76922
694,17618,"PUF18","flanker",3.09524,3,0,1290,"FA18UCpost","flanker",7.36911,5,2.36911
695,17617,"PUF18","flanker",8.04809,5,3.28619,1291,"FA18UCpost","flanker",7.3388,5,2.57689
696,17616,"PUF18","flanker",7.49904,5,2.49904,1292,"FA18UCpost","flanker",7.80542,5,2.80542
697,17615,"PUF18","flanker",5.1732,5,0.53034,1277,"FA18UCpost","flanker",5.85064,5,0.850637
698,17613,"PUF18","flanker",8.06424,5,3.18329,1293,"FA18UCpost","flanker",8.36255,5,3.36255
699,17612,"PUF18","flanker",3.92857,4,2.43351,1278,"FA18UCpost","flanker",3.80952,4,2.35584
700,17612,"PUF18","flanker",3.92857,4,2.43351,1278,"FA18UCpost","flanker",3.80952,4,2.35584
701,17611,"PUF18","flanker",8.07462,5,3.19367,1294,"FA18UCpost","flanker",7.88221,5,3.23935
702,17611,"PUF18","flanker",5,5,0,1294,"FA18UCpost","flanker",7.88221,5,3.23935
703,17611,"PUF18","flanker",5,5,0,1294,"FA18UCpost","flanker",7.88221,5,3.23935
704,17611,"PUF18","flanker",5,5,0,1294,"FA18UCpost","flanker",7.88221,5,3.23935
705,17611,"PUF18","flanker",8.41071,5,3.41071,1294,"FA18UCpost","flanker",7.88221,5,3.23935
706,17610,"PUF18","flanker",8.45907,5,3.57811,1295,"FA18UCpost","flanker",8.19223,5,3.43033
707,17608,"PUF18","flanker",8.11675,5,3.23579,1296,"FA18UCpost","flanker",8.14537,5,3.26442
708,17607,"PUF18","flanker",3.69048,4,2.18639,1279,"FA18UCpost","flanker",7.07338,5,2.19243
709,17606,"PUF18","flanker",5.54769,5,1.02388,1297,"FA18UCpost","flanker",4.80228,5,0.278471
710,17605,"PUF18","flanker",7.55835,5,2.55835,1280,"FA18UCpost","flanker",8.03005,5,3.1491
711,17604,"PUF18","flanker",3.57143,4,1.99367,1298,"FA18UCpost","flanker",6.61336,4,2.56575
712,17603,"PUF18","flanker",7.7984,5,2.7984,1281,"FA18UCpost","flanker",8.00314,5,3.12219
713,17602,"PUF18","flanker",6.98486,5,2.22295,1282,"FA18UCpost","flanker",7.15943,5,2.15943
714,17601,"PUF18","flanker",8.20958,5,3.32863,1299,"FA18UCpost","flanker",7.39151,5,2.74865
715,17600,"PUF18","flanker",6.53477,5,2.01096,1283,"FA18UCpost","flanker",7.06384,5,2.06384
715,17600,"PUF18","flanker",6.53477,5,2.01096,1284,"FA18UCpost","flanker",7.06384,5,2.06384
716,17599,"PUF18","flanker",8.06079,5,3.17984,1300,"FA18UCpost","flanker",7.4467,5,2.56575
717,17597,"PUF18","flanker",7.67121,5,2.67121,1301,"FA18UCpost","flanker",8.15079,5,3.15079
718,17596,"PUF18","flanker",8.08856,5,3.20761,1304,"FA18UCpost","flanker",8.33111,5,3.45016
718,17596,"PUF18","flanker",8.08856,5,3.20761,1305,"FA18UCpost","flanker",8.33111,5,3.45016
719,17595,"PUF18","flanker",7.95211,5,3.1902,1306,"FA18UCpost","flanker",8.04024,5,3.15929
720,17594,"PUF18","flanker",7.76452,5,3.00261,1302,"FA18UCpost","flanker",8.21988,5,3.21989
721,17592,"PUF18","flanker",8.13459,5,3.25363,1307,"FA18UCpost","flanker",7.35377,5,2.59186
722,17591,"PUF18","flanker",8.47829,5,3.47829,1308,"FA18UCpost","flanker",8.40292,5,3.40291
723,17590,"PUF18","flanker",3.57143,4,1.61052,1309,"FA18UCpost","flanker",7.98984,5,3.10888
724,17589,"PUF18","flanker",8.21637,5,3.21637,1310,"FA18UCpost","flanker",8.43823,5,3.43823
725,17588,"PUF18","flanker",8.36329,5,3.48234,1311,"FA18UCpost","flanker",8.37974,5,3.37974
726,17587,"PUF18","flanker",8.16953,5,3.16953,1312,"FA18UCpost","flanker",8.21988,5,3.21989
727,17585,"PUF18","flanker",8.19656,5,3.31561,1313,"FA18UCpost","flanker",8.37782,5,3.37782
728,17584,"PUF18","flanker",6.61133,5,1.96847,1314,"FA18UCpost","flanker",7.84954,5,2.84954
729,17583,"PUF18","flanker",3.57143,4,1.58131,1315,"FA18UCpost","flanker",8.10888,5,3.10888
730,17582,"PUF18","flanker",6.54486,5,2.02105,1316,"FA18UCpost","flanker",7.47772,5,2.47772
731,17581,"PUF18","flanker",8.26803,5,3.26803,1317,"FA18UCpost","flanker",7.73688,5,3.09403
732,17580,"PUF18","flanker",7.89769,5,2.89769,1318,"FA18UCpost","flanker",7.73041,5,2.96851
733,17579,"PUF18","flanker",3.09524,3,1.06945,1303,"FA18UCpost","flanker",5.97893,4,1.93132
734,17578,"PUF18","flanker",8.01319,5,3.13223,1319,"FA18UCpost","flanker",8.28984,5,3.28984
736,17576,"PUF18","flanker",6.97384,5,1.97384,1320,"FA18UCpost","flanker",6.69918,5,2.05632
737,17575,"PUF18","flanker",7.09367,5,2.21272,1321,"FA18UCpost","flanker",6.70024,5,1.93834
738,17574,"PUF18","flanker",8.38358,5,3.38358,1322,"FA18UCpost","flanker",8.58883,5,3.58883
738,17574,"PUF18","flanker",8.38358,5,3.38358,1323,"FA18UCpost","flanker",8.58883,5,3.58883
739,17573,"PUF18","flanker",6.87382,4,2.58811,1324,"FA18UCpost","flanker",7.30826,5,2.78445
740,17571,"PUF18","flanker",5.84237,5,1.08046,1327,"FA18UCpost","flanker",7.83519,5,2.83519
741,17570,"PUF18","flanker",3.69048,4,1.97923,1328,"FA18UCpost","flanker",7.40737,4,3.00261
741,17570,"PUF18","flanker",3.69048,4,1.97923,1329,"FA18UCpost","flanker",7.40737,4,3.00261
742,17569,"PUF18","flanker",6.48275,5,1.8399,1330,"FA18UCpost","flanker",7.38696,5,2.38696
743,17568,"PUF18","flanker",7.94865,5,3.18674,1331,"FA18UCpost","flanker",7.63097,5,2.75001
744,17567,"PUF18","flanker",7.56698,5,2.56698,1332,"FA18UCpost","flanker",7.23221,5,2.23221
745,17566,"PUF18","flanker",7.74194,5,3.21813,1333,"FA18UCpost","flanker",8.07011,5,3.30821
746,17565,"PUF18","flanker",7.85407,5,2.97312,1334,"FA18UCpost","flanker",7.54357,5,2.78167
747,17564,"PUF18","flanker",7.56265,5,2.6817,1335,"FA18UCpost","flanker",7.8815,5,2.8815
748,17563,"PUF18","flanker",3.80952,4,3.22517,1326,"FA18UCpost","flanker",7.84092,5,2.84092
749,17562,"PUF18","flanker",3.57143,4,3.19367,1336,"FA18UCpost","flanker",7.54976,5,2.54976
750,17561,"PUF18","flanker",3.57143,4,0.863855,1337,"FA18UCpost","flanker",7.58144,5,2.81954
751,17560,"PUF18","flanker",8.05907,5,3.29716,1338,"FA18UCpost","flanker",8.11875,5,3.35685
752,17559,"PUF18","flanker",7.36575,5,2.4848,1339,"FA18UCpost","flanker",7.02013,5,2.02013
753,17559,"PUF18","flanker",7.36575,5,2.4848,1339,"FA18UCpost","flanker",7.02013,5,2.02013
754,17558,"PUF18","flanker",8.14233,5,3.14233,1340,"FA18UCpost","flanker",8.09732,5,3.09732
755,17557,"PUF18","flanker",6.49132,4,2.08656,1341,"FA18UCpost","flanker",7.86836,5,2.86836
756,17556,"PUF18","flanker",7.07896,5,2.07896,1342,"FA18UCpost","flanker",6.92234,5,2.04139
758,17554,"PUF18","flanker",8.49251,5,3.49251,1343,"FA18UCpost","flanker",8.23579,5,3.23579
759,17553,"PUF18","flanker",8.06629,5,3.06629,1344,"FA18UCpost","flanker",8.40292,5,3.40291
760,17552,"PUF18","flanker",7.93351,5,2.93351,1345,"FA18UCpost","flanker",8.04375,5,3.04375
761,17551,"PUF18","flanker",8.33362,5,3.57171,1346,"FA18UCpost","flanker",8.16099,5,3.16099
762,17550,"PUF18","flanker",8.27611,5,3.39516,1347,"FA18UCpost","flanker",8.75987,5,3.75987
763,17549,"PUF18","flanker",7.50619,5,2.98238,1348,"FA18UCpost","flanker",7.71472,5,2.83376
764,17548,"PUF18","flanker",7.94239,5,3.06143,1349,"FA18UCpost","flanker",8.05982,5,3.05982
764,17548,"PUF18","flanker",7.94239,5,3.06143,1350,"FA18UCpost","flanker",8.05982,5,3.05982
765,17548,"PUF18","flanker",7.94239,5,3.06143,1349,"FA18UCpost","flanker",8.05982,5,3.05982
765,17548,"PUF18","flanker",7.94239,5,3.06143,1350,"FA18UCpost","flanker",8.05982,5,3.05982
766,17547,"PUF18","flanker",8.24831,5,3.4864,1351,"FA18UCpost","flanker",8.1122,5,3.1122
767,16908,"PUF18","flanker",7.99481,5,2.99481,1541,"FA18UCpost","flanker",8.20062,5,3.20062
768,16907,"PUF18","flanker",8.20399,5,3.32304,1542,"FA18UCpost","flanker",8.17038,5,3.52753
769,16906,"PUF18","flanker",8.26646,5,3.38551,1543,"FA18UCpost","flanker",8.06804,5,3.54423
771,16904,"PUF18","flanker",5.87754,4,1.82992,1544,"FA18UCpost","flanker",3.80952,4,3.17125
772,16903,"PUF18","flanker",8.07603,5,3.07603,1545,"FA18UCpost","flanker",7.8867,5,3.00574
774,16901,"PUF18","flanker",8.22871,5,3.22871,1546,"FA18UCpost","flanker",8.17847,5,3.41657
777,16899,"PUF18","flanker",7.79421,5,2.79421,1547,"FA18UCpost","flanker",7.80542,5,2.80542
779,16897,"PUF18","flanker",5,5,0,1548,"FA18UCpost","flanker",7.84946,5,2.96851
780,16896,"PUF18","flanker",7.67376,5,2.79281,1549,"FA18UCpost","flanker",7.99061,5,3.22871
781,16896,"PUF18","flanker",5,5,0,1549,"FA18UCpost","flanker",7.99061,5,3.22871
784,16889,"PUF18","flanker",7.30965,5,2.78584,1550,"FA18UCpost","flanker",7.9977,5,3.23579
785,16888,"PUF18","flanker",7.81926,5,3.1764,1551,"FA18UCpost","flanker",8.24921,5,3.36826
786,16887,"PUF18","flanker",7.77126,5,2.89031,1552,"FA18UCpost","flanker",7.42789,5,2.66598
787,16886,"PUF18","flanker",8.11054,5,3.11054,1553,"FA18UCpost","flanker",7.9639,5,2.9639
788,16885,"PUF18","flanker",7.91402,5,2.91402,1554,"FA18UCpost","flanker",7.98703,5,2.98703
789,16884,"PUF18","flanker",7.60948,5,2.60948,1555,"FA18UCpost","flanker",7.91701,5,2.917
791,16882,"PUF18","flanker",5.30904,4,1.26142,1556,"FA18UCpost","flanker",7.95373,5,3.07278
792,16881,"PUF18","flanker",8.11054,5,3.11054,1557,"FA18UCpost","flanker",8.30636,5,3.30636
792,16881,"PUF18","flanker",8.11054,5,3.11054,1558,"FA18UCpost","flanker",8.02307,5,3.02307
793,16880,"PUF18","flanker",7.72408,4,3.31932,1559,"FA18UCpost","flanker",8.60394,5,3.60394
794,16879,"PUF18","flanker",3.45238,3,1.62382,1560,"FA18UCpost","flanker",6.51369,5,1.63274
795,16878,"PUF18","flanker",7.04139,5,2.04139,1561,"FA18UCpost","flanker",7.61455,5,2.61455
796,16877,"PUF18","flanker",8.17296,5,3.17296,1562,"FA18UCpost","flanker",8.28254,5,3.28254
797,16876,"PUF18","flanker",7.78584,5,2.78584,1563,"FA18UCpost","flanker",7.63752,5,2.63752
798,16875,"PUF18","flanker",8.42245,5,3.42245,1564,"FA18UCpost","flanker",8.30636,5,3.30636
799,16874,"PUF18","flanker",3.57143,4,3.81006,1565,"FA18UCpost","flanker",8.02836,5,3.38551
800,16873,"PUF18","flanker",8.41461,5,3.41461,1566,"FA18UCpost","flanker",8.50685,5,3.50685
801,16872,"PUF18","flanker",6.33984,5,1.33984,1567,"FA18UCpost","flanker",6.14512,5,1.14512
804,16868,"PUF18","flanker",6.96648,5,2.20458,1568,"FA18UCpost","flanker",7.36339,5,2.48244
805,16867,"PUF18","flanker",8.34914,5,3.46819,1569,"FA18UCpost","flanker",8.20772,5,3.32677
805,16867,"PUF18","flanker",8.34914,5,3.46819,1571,"FA18UCpost","flanker",8.20772,5,3.32677
806,16866,"PUF18","flanker",5,5,0,1570,"FA18UCpost","flanker",7.97004,5,2.97004
807,16865,"PUF18","flanker",7.2371,4,2.83234,1572,"FA18UCpost","flanker",7.64704,5,3.00418
808,16864,"PUF18","flanker",8.43428,5,3.43428,1573,"FA18UCpost","flanker",8.25902,5,3.25902
809,16863,"PUF18","flanker",7.85805,5,3.33424,1574,"FA18UCpost","flanker",8.37208,5,3.37208
810,16862,"PUF18","flanker",8.15079,5,3.15079,1575,"FA18UCpost","flanker",8.12888,5,3.12888
811,16861,"PUF18","flanker",8.13559,5,3.13559,1576,"FA18UCpost","flanker",7.36579,5,2.36579
812,16860,"PUF18","flanker",8.00314,5,3.12219,1577,"FA18UCpost","flanker",8.30821,5,3.30821
813,16859,"PUF18","flanker",5,5,0,1578,"FA18UCpost","flanker",5.17307,5,0.292119
814,16858,"PUF18","flanker",7.77568,5,2.89473,1579,"FA18UCpost","flanker",7.69692,5,2.93502
815,16857,"PUF18","flanker",8.54214,5,3.54214,1580,"FA18UCpost","flanker",8.34713,5,3.46618
816,16856,"PUF18","flanker",6.44615,4,2.04139,1581,"FA18UCpost","flanker",3.57143,4,2.41976
817,16855,"PUF18","flanker",4.42208,4,0.0173135,1582,"FA18UCpost","flanker",6.66098,5,1.78003
818,16854,"PUF18","flanker",8.45907,5,3.57811,1583,"FA18UCpost","flanker",8.10966,5,3.22871
818,16854,"PUF18","flanker",8.45907,5,3.57811,1584,"FA18UCpost","flanker",8.10966,5,3.22871
819,16853,"PUF18","flanker",8.4336,5,3.55265,1585,"FA18UCpost","flanker",8.57384,5,3.57384
820,16852,"PUF18","flanker",8.23599,5,3.59313,1586,"FA18UCpost","flanker",3.45238,3,1.69333
821,16852,"PUF18","flanker",8.23599,5,3.59313,1586,"FA18UCpost","flanker",3.45238,3,1.69333
822,16851,"PUF18","flanker",3.45238,3,3.52545,1587,"FA18UCpost","flanker",3.09524,3,2.58561
823,16850,"PUF18","flanker",7.15697,5,2.27602,1588,"FA18UCpost","flanker",7.76784,5,2.76784
824,16848,"PUF18","flanker",7.58647,5,2.70552,1589,"FA18UCpost","flanker",8.40097,5,3.40097
825,16847,"PUF18","flanker",3.92857,4,1.23901,1590,"FA18UCpost","flanker",5.72437,4,1.31961
826,16846,"PUF18","flanker",7.86179,5,2.98084,1591,"FA18UCpost","flanker",7.78862,5,2.78862
