"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime"
977,16847,"FA18UCpost","dccs",3.58974,4,0,"2018-11-27 12:49:26"
976,16848,"FA18UCpost","dccs",8.03812,5,3.16633,"2018-11-27 12:45:48"
975,16850,"FA18UCpost","dccs",6.65009,4,2.16291,"2018-11-27 12:47:48"
974,16851,"FA18UCpost","dccs",2.17949,2,3.70562,"2018-11-27 12:42:29"
973,16852,"FA18UCpost","dccs",5.88418,4,1.65342,"2018-11-27 12:45:25"
972,16853,"FA18UCpost","dccs",6.53748,4,2.30671,"2018-11-27 12:43:53"
971,16854,"FA18UCpost","dccs",3.20513,3,5,"2018-11-27 12:54:14"
970,16855,"FA18UCpost","dccs",7.49506,5,2.87968,"2018-11-27 12:43:37"
969,16856,"FA18UCpost","dccs",3.97436,4,3.2715,"2018-11-27 12:43:26"
968,16857,"FA18UCpost","dccs",8.51397,5,3.77038,"2018-11-27 12:42:52"
967,16858,"FA18UCpost","dccs",6.42768,4,1.9405,"2018-11-27 12:44:04"
966,16859,"FA18UCpost","dccs",8.07132,5,3.32773,"2018-11-27 12:43:07"
964,16860,"FA18UCpost","dccs",8.22466,5,3.22466,"2018-11-27 12:43:04"
965,16861,"FA18UCpost","dccs",6.00775,4,1.64877,"2018-11-27 12:52:23"
962,16862,"FA18UCpost","dccs",7.10866,5,2.36507,"2018-11-27 12:46:16"
961,16863,"FA18UCpost","dccs",6.84758,4,2.61681,"2018-11-27 12:48:13"
960,16864,"FA18UCpost","dccs",8.40019,5,3.78481,"2018-11-27 12:42:50"
959,16865,"FA18UCpost","dccs",3.94737,4,4.43028,"2018-11-27 12:46:43"
958,16866,"FA18UCpost","dccs",6.84399,5,1.96899,"2018-11-27 12:46:56"
957,16867,"FA18UCpost","dccs",8.05131,5,3.30772,"2018-11-27 12:42:51"
956,16868,"FA18UCpost","dccs",7.41668,5,2.67309,"2018-11-27 12:45:35"
955,16870,"FA18UCpost","dccs",6.054,4,1.56682,"2018-11-27 13:38:14"
954,16871,"FA18UCpost","dccs",7.58677,5,2.84318,"2018-11-27 13:33:37"
953,16872,"FA18UCpost","dccs",7.24673,5,2.63135,"2018-11-27 13:33:26"
952,16873,"FA18UCpost","dccs",7.94125,5,3.19766,"2018-11-27 13:27:59"
951,16874,"FA18UCpost","dccs",7.8368,4,3.34962,"2018-11-27 13:27:39"
950,16875,"FA18UCpost","dccs",7.82051,5,2.82051,"2018-11-27 13:26:40"
949,16876,"FA18UCpost","dccs",6.55446,4,2.19549,"2018-11-27 13:34:59"
948,16877,"FA18UCpost","dccs",7.51045,5,2.63866,"2018-11-27 13:27:50"
947,16878,"FA18UCpost","dccs",7.33638,5,2.59279,"2018-11-27 13:29:27"
946,16879,"FA18UCpost","dccs",5.77957,5,0.907771,"2018-11-27 13:32:04"
945,16880,"FA18UCpost","dccs",8.62152,5,3.62152,"2018-11-27 13:29:00"
944,16881,"FA18UCpost","dccs",6.8915,4,2.66073,"2018-11-27 13:30:56"
942,16882,"FA18UCpost","dccs",7.49314,4,3.00596,"2018-11-27 13:28:46"
941,16884,"FA18UCpost","dccs",7.30554,5,2.56195,"2018-11-27 13:30:07"
940,16885,"FA18UCpost","dccs",3.20513,3,3.73371,"2018-11-27 13:37:15"
939,16886,"FA18UCpost","dccs",6.84279,4,2.59279,"2018-11-27 13:28:12"
938,16887,"FA18UCpost","dccs",6.82202,4,2.47991,"2018-11-27 13:30:38"
