"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1320,17576,"FA18UCpost","flanker",6.69918,5,2.05632
1321,17575,"FA18UCpost","flanker",6.70024,5,1.93834
1322,17574,"FA18UCpost","flanker",8.58883,5,3.58883
1323,17574,"FA18UCpost","flanker",8.58883,5,3.58883
1324,17573,"FA18UCpost","flanker",7.30826,5,2.78445
1325,17572,"FA18UCpost","flanker",7.21772,4,2.932
1326,17563,"FA18UCpost","flanker",7.84092,5,2.84092
1327,17571,"FA18UCpost","flanker",7.83519,5,2.83519
1328,17570,"FA18UCpost","flanker",7.40737,4,3.00261
1329,17570,"FA18UCpost","flanker",7.40737,4,3.00261
1330,17569,"FA18UCpost","flanker",7.38696,5,2.38696
1331,17568,"FA18UCpost","flanker",7.63097,5,2.75001
1332,17567,"FA18UCpost","flanker",7.23221,5,2.23221
1333,17566,"FA18UCpost","flanker",8.07011,5,3.30821
1334,17565,"FA18UCpost","flanker",7.54357,5,2.78167
1335,17564,"FA18UCpost","flanker",7.8815,5,2.8815
1336,17562,"FA18UCpost","flanker",7.54976,5,2.54976
1337,17561,"FA18UCpost","flanker",7.58144,5,2.81954
1338,17560,"FA18UCpost","flanker",8.11875,5,3.35685
1339,17559,"FA18UCpost","flanker",7.02013,5,2.02013
1340,17558,"FA18UCpost","flanker",8.09732,5,3.09732
1341,17557,"FA18UCpost","flanker",7.86836,5,2.86836
1342,17556,"FA18UCpost","flanker",6.92234,5,2.04139
1343,17554,"FA18UCpost","flanker",8.23579,5,3.23579
1344,17553,"FA18UCpost","flanker",8.40292,5,3.40291
1345,17552,"FA18UCpost","flanker",8.04375,5,3.04375
1346,17551,"FA18UCpost","flanker",8.16099,5,3.16099
1347,17550,"FA18UCpost","flanker",8.75987,5,3.75987
1348,17549,"FA18UCpost","flanker",7.71472,5,2.83376
1349,17548,"FA18UCpost","flanker",8.05982,5,3.05982
1350,17548,"FA18UCpost","flanker",8.05982,5,3.05982
1351,17547,"FA18UCpost","flanker",8.1122,5,3.1122
1352,18690,"FA18UCpost","flanker",8.0781,5,3.19714
