"","post_nihScore","post_nihAccuracy","post_nihRTScore"
"pre_nihScore",0.46936223939178,0.376945986591034,0.357114198294883
"pre_nihAccuracy",0.45240791097869,0.441575534227379,0.237165335033087
"pre_nihRTScore",0.224564029394754,0.0845124288506042,0.2782697368937
