"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime"
237,16842,"PUF18","dccs",2.4359,2,2.71944,"2018-10-23 11:20:11"
236,16843,"PUF18","dccs",8.9144,5,4.17081,"2018-10-16 11:23:45"
235,16844,"PUF18","dccs",8.11749,5,3.5021,"2018-10-16 11:22:52"
234,16845,"PUF18","dccs",7.56521,4,3.33444,"2018-10-16 12:49:09"
233,16846,"PUF18","dccs",7.07982,5,2.33623,"2018-10-16 12:59:46"
232,16847,"PUF18","dccs",0,4,0,"2018-10-16 13:01:26"
231,16848,"PUF18","dccs",7.33027,5,2.45847,"2018-10-16 12:50:54"
230,16850,"PUF18","dccs",6.57337,4,2.34261,"2018-10-16 12:56:19"
229,16851,"PUF18","dccs",2.05128,2,3.63692,"2018-10-16 13:01:34"
227,16852,"PUF18","dccs",8.21146,5,3.46787,"2018-10-16 12:53:04"
226,16853,"PUF18","dccs",3.97436,4,4.14869,"2018-10-30 12:52:52"
225,16854,"PUF18","dccs",8.78727,5,4.04368,"2018-10-16 12:45:50"
224,16855,"PUF18","dccs",7.15352,5,2.28173,"2018-10-16 12:55:35"
223,16856,"PUF18","dccs",2.4359,2,3.45362,"2018-10-16 12:56:31"
222,16857,"PUF18","dccs",5,5,0,"2018-10-16 13:10:34"
221,16858,"PUF18","dccs",6.18846,4,2.0859,"2018-10-16 12:52:20"
220,16859,"PUF18","dccs",7.02229,4,2.79152,"2018-10-16 12:52:15"
219,16860,"PUF18","dccs",3.97436,4,2.75647,"2018-10-16 12:52:59"
218,16861,"PUF18","dccs",8.35301,5,3.35301,"2018-10-16 12:51:31"
217,16862,"PUF18","dccs",8.41738,4,3.9302,"2018-10-16 12:53:16"
216,16863,"PUF18","dccs",3.84615,4,2.95597,"2018-10-16 13:00:45"
215,16864,"PUF18","dccs",8.63602,5,3.76423,"2018-10-16 12:53:35"
214,16865,"PUF18","dccs",7.27023,4,2.91126,"2018-10-16 12:57:05"
213,16866,"PUF18","dccs",6.63127,4,2.38127,"2018-10-16 12:50:39"
212,16867,"PUF18","dccs",7.4681,5,2.72451,"2018-10-16 12:49:32"
211,16868,"PUF18","dccs",6.79757,5,2.05398,"2018-10-23 12:47:49"
210,16870,"PUF18","dccs",6.6815,5,1.6815,"2018-10-16 13:40:09"
209,16871,"PUF18","dccs",8.81396,5,3.81396,"2018-10-16 13:41:05"
208,16872,"PUF18","dccs",7.35542,5,2.35542,"2018-10-16 13:42:35"
207,16873,"PUF18","dccs",7.46301,4,2.97583,"2018-10-16 13:36:03"
206,16874,"PUF18","dccs",7.35456,4,3.25199,"2018-10-16 13:34:15"
205,16875,"PUF18","dccs",7.93726,4,3.45008,"2018-10-16 13:33:40"
204,16876,"PUF18","dccs",3.46154,3,2.81521,"2018-10-16 13:39:21"
203,16877,"PUF18","dccs",7.73851,5,2.73851,"2018-10-16 13:35:13"
202,16878,"PUF18","dccs",7.15761,5,2.41402,"2018-10-16 13:41:07"
201,16879,"PUF18","dccs",6.57947,4,2.2205,"2018-10-16 13:42:02"
200,16880,"PUF18","dccs",7.78582,5,2.91403,"2018-10-16 13:35:35"
199,16881,"PUF18","dccs",0,4,0,"2018-10-16 13:35:18"
198,16882,"PUF18","dccs",6.70973,4,2.60717,"2018-10-16 13:37:58"
197,16883,"PUF18","dccs",6.77347,5,2.02988,"2018-10-16 13:37:55"
196,16884,"PUF18","dccs",5.71863,4,1.23145,"2018-10-16 13:37:25"
195,16885,"PUF18","dccs",2.05128,2,3.14466,"2018-10-16 13:34:27"
194,16886,"PUF18","dccs",7.43947,5,2.43947,"2018-10-16 13:36:44"
193,16887,"PUF18","dccs",6.12265,4,1.74765,"2018-10-16 13:38:14"
192,16888,"PUF18","dccs",5.59106,4,1.23208,"2018-10-23 13:32:50"
191,16889,"PUF18","dccs",7.4399,4,3.08092,"2018-10-23 13:32:54"
190,16890,"PUF18","dccs",8.44408,4,3.9569,"2018-10-23 13:33:42"
189,16895,"PUF18","dccs",6.9185,5,1.9185,"2018-10-16 14:37:46"
188,16896,"PUF18","dccs",7.66356,4,3.56099,"2018-10-23 14:20:08"
187,16897,"PUF18","dccs",6.34506,4,1.98608,"2018-10-16 14:17:24"
186,16898,"PUF18","dccs",7.89133,5,3.14774,"2018-10-16 14:25:12"
185,16899,"PUF18","dccs",7.6052,5,2.73341,"2018-10-16 14:18:59"
184,16900,"PUF18","dccs",3.33333,3,1.63566,"2018-10-23 14:26:33"
183,16901,"PUF18","dccs",7.01055,4,2.77978,"2018-10-23 14:18:23"
182,16902,"PUF18","dccs",9.17109,5,4.4275,"2018-10-23 14:16:16"
181,16903,"PUF18","dccs",7.90831,5,3.03652,"2018-10-23 14:19:55"
180,16904,"PUF18","dccs",4.92459,4,0.693822,"2018-10-23 14:19:18"
179,16905,"PUF18","dccs",2.5641,3,2.83783,"2018-10-23 14:20:31"
178,16906,"PUF18","dccs",7.60022,5,2.85663,"2018-10-23 14:20:35"
177,16907,"PUF18","dccs",8.46663,5,3.59483,"2018-10-23 14:23:04"
176,16908,"PUF18","dccs",8.37174,5,3.37174,"2018-10-30 14:14:54"
537,16920,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:23"
540,16921,"PUF18a","dccs",7.2896,5,2.71817,"2018-10-09 09:10:28"
454,16922,"PUF18","dccs",7.46697,5,2.59518,"2018-10-16 09:06:16"
545,16923,"PUF18a","dccs",6.99111,4,2.86068,"2018-10-09 09:08:44"
529,16924,"PUF18a","dccs",5,5,0,"2018-10-09 09:10:35"
531,16925,"PUF18a","dccs",5,5,0,"2018-10-09 09:10:08"
534,16926,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:47"
532,16927,"PUF18a","dccs",6.44926,5,1.82426,"2018-10-16 08:50:18"
538,16928,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:38"
539,16929,"PUF18a","dccs",5,5,0,"2018-10-09 09:08:58"
432,16930,"PUF18","dccs",7.26873,5,2.65334,"2018-10-16 09:04:31"
549,16931,"PUF18a","dccs",6.62172,5,1.87172,"2018-10-09 09:09:14"
544,16932,"PUF18a","dccs",8.62173,4,4.19316,"2018-10-09 09:09:56"
542,16933,"PUF18a","dccs",2.59259,3,3.80559,"2018-10-09 09:10:16"
543,16934,"PUF18a","dccs",3.27586,3,2.86609,"2018-10-09 09:10:07"
451,16935,"PUF18","dccs",3.875,4,1.90976,"2018-10-23 08:55:51"
431,16936,"PUF18","dccs",7.95597,5,2.95597,"2018-10-16 09:05:12"
430,16937,"PUF18","dccs",6.34867,4,1.9897,"2018-10-16 09:07:58"
429,16938,"PUF18","dccs",7.98816,5,3.22626,"2018-10-23 09:11:30"
427,16939,"PUF18","dccs",3.84615,4,0.587852,"2018-10-23 09:07:41"
426,16940,"PUF18","dccs",7.56971,5,2.94471,"2018-10-23 09:08:21"
425,16941,"PUF18","dccs",7.5841,5,2.96872,"2018-10-23 09:09:06"
435,16945,"PUF18","dccs",2.30769,2,1.48283,"2018-10-16 09:44:54"
434,16946,"PUF18","dccs",3.46154,3,2.28795,"2018-10-16 09:47:29"
609,16947,"preflank","dccs",3.84615,4,3.29283,"2018-10-16 09:33:12"
439,16948,"PUF18","dccs",7.39256,5,2.77717,"2018-10-16 09:32:44"
424,16949,"PUF18","dccs",3.71795,4,4.3537,"2018-10-23 09:38:53"
433,16950,"PUF18","dccs",6.71632,5,1.71632,"2018-10-16 09:34:33"
423,16951,"PUF18","dccs",6.43543,4,2.07646,"2018-10-16 09:38:20"
422,16952,"PUF18","dccs",3.58974,4,5,"2018-10-23 09:35:59"
421,16953,"PUF18","dccs",7.92301,5,3.05122,"2018-10-16 09:40:23"
420,16954,"PUF18","dccs",7.48338,5,2.73979,"2018-10-16 09:39:11"
419,16955,"PUF18","dccs",7.15408,4,2.6669,"2018-10-16 09:38:33"
418,16956,"PUF18","dccs",3.84615,4,1.49792,"2018-10-16 09:45:06"
417,16957,"PUF18","dccs",7.9419,5,2.9419,"2018-10-23 09:39:24"
416,16958,"PUF18","dccs",7.33862,5,2.72324,"2018-10-23 09:39:24"
415,16959,"PUF18","dccs",2.375,2,2.80202,"2018-10-30 09:32:04"
414,16960,"PUF18","dccs",7.23297,4,2.98297,"2018-11-20 09:41:22"
495,16967,"PUF18a","dccs",7.15037,4,2.66319,"2018-10-09 10:08:17"
490,16968,"PUF18a","dccs",2.05128,2,3.25361,"2018-10-09 10:09:35"
493,16969,"PUF18a","dccs",6.83073,4,2.59997,"2018-10-09 10:08:29"
492,16970,"PUF18a","dccs",2.94872,3,2.58088,"2018-10-09 10:08:57"
471,16971,"PUF18a","dccs",3.71795,4,2.90022,"2018-10-09 10:13:41"
488,16972,"PUF18a","dccs",2.69231,3,1.85806,"2018-10-09 10:11:38"
494,16973,"PUF18a","dccs",3.58974,4,1.915,"2018-10-09 10:13:17"
581,16974,"PespF18","dccs",0,4,0,"2018-10-16 10:24:08"
579,16975,"PespF18","dccs",5,5,0,"2018-10-23 10:22:39"
577,16976,"PespF18","dccs",3.97436,4,0,"2018-10-16 10:25:38"
486,16977,"PUF18a","dccs",3.71795,4,2.4328,"2018-10-09 10:11:57"
466,16978,"PUF18a","dccs",3,3,1.50226,"2018-10-09 10:17:24"
573,16979,"PespF18","dccs",3.84615,4,0,"2018-10-16 10:23:23"
468,16980,"PUF18a","dccs",2.05128,2,3.07495,"2018-10-09 10:16:52"
485,16981,"PUF18a","dccs",2.17949,2,4.19816,"2018-10-09 10:17:44"
535,16982,"PUF18a","dccs",7.82956,5,2.95456,"2018-10-09 09:10:55"
541,16983,"PUF18a","dccs",7.71942,5,2.97583,"2018-10-09 09:11:18"
449,16984,"PUF18","dccs",7.1234,4,2.63622,"2018-10-23 08:56:39"
528,16985,"PUF18a","dccs",8.28132,5,3.28132,"2018-10-09 09:11:23"
527,16986,"PUF18a","dccs",6.44591,5,1.82091,"2018-10-09 09:11:04"
547,16987,"PUF18a","dccs",7.43213,4,3.05713,"2018-10-09 09:10:55"
530,16988,"PUF18a","dccs",7.36408,4,3.11408,"2018-10-09 09:10:55"
551,16989,"PUF18a","dccs",7.45748,5,2.83248,"2018-10-09 09:07:55"
526,16990,"PUF18a","dccs",7.13866,5,2.63866,"2018-10-09 09:12:44"
525,16991,"PUF18a","dccs",6.50615,4,2.50615,"2018-10-09 09:12:15"
550,16992,"PUF18a","dccs",7.74156,5,2.99156,"2018-10-09 09:09:47"
548,16993,"PUF18a","dccs",6.70846,5,2.20846,"2018-10-09 09:10:20"
444,16994,"PUF18","dccs",2.4359,2,3.76423,"2018-10-23 09:03:03"
552,16995,"PUF18a","dccs",5.85425,4,1.47925,"2018-10-09 09:04:43"
413,16996,"PUF18","dccs",3.07692,3,5,"2018-10-16 09:03:19"
553,16997,"PUF18a","dccs",8.0053,5,3.3803,"2018-10-09 09:04:13"
412,16998,"PUF18","dccs",3.58974,4,2.62164,"2018-10-16 09:05:23"
515,17006,"PUF18a","dccs",7.66167,5,3.16167,"2018-10-09 09:45:27"
514,17007,"PUF18a","dccs",7.88385,5,3.00885,"2018-10-09 09:45:31"
517,17008,"PUF18a","dccs",7.61203,5,2.86203,"2018-10-09 09:45:18"
516,17009,"PUF18a","dccs",7.94846,5,3.07346,"2018-10-09 09:45:14"
440,17010,"PUF18","dccs",8.07803,5,3.33444,"2018-10-23 09:42:44"
498,17011,"PUF18a","dccs",7.20293,4,3.07793,"2018-10-09 09:46:06"
501,17012,"PUF18a","dccs",6.74928,4,2.49928,"2018-10-09 09:46:28"
500,17013,"PUF18a","dccs",8.12016,5,3.12016,"2018-10-09 09:46:49"
509,17014,"PUF18a","dccs",7.86408,5,3.11408,"2018-10-09 09:45:28"
502,17015,"PUF18a","dccs",7.19747,5,2.32247,"2018-10-09 09:46:13"
511,17016,"PUF18a","dccs",8.11409,5,3.23909,"2018-10-09 09:45:34"
513,17017,"PUF18a","dccs",8.02216,5,3.52216,"2018-10-09 09:44:25"
497,17018,"PUF18a","dccs",6.12377,4,1.99877,"2018-10-09 09:47:42"
520,17019,"PUF18a","dccs",6.42836,5,1.67836,"2018-10-09 09:40:58"
504,17020,"PUF18a","dccs",7.15673,5,2.28173,"2018-10-09 09:45:58"
503,17021,"PUF18a","dccs",6.68854,5,2.18854,"2018-10-09 09:45:58"
519,17022,"PUF18a","dccs",7.86203,5,2.86203,"2018-10-09 09:39:49"
524,17023,"PUF18a","dccs",8.31184,4,3.93684,"2018-10-09 09:36:55"
518,17024,"PUF18a","dccs",8.35339,4,4.22839,"2018-10-09 09:42:18"
521,17025,"PUF18a","dccs",6.57148,4,2.19648,"2018-10-09 09:39:03"
442,17026,"PUF18","dccs",8.15595,5,3.54057,"2018-10-23 09:43:35"
