"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
615,17192,"PRF18","flanker",3.58974,4,0.954479
616,17211,"PRF18","flanker",8.1532,5,3.39129
617,17191,"PRF18","flanker",3.33333,3,4.1351
618,17257,"PRF18","flanker",3.80952,4,3.07603
619,17322,"PRF18","flanker",3.92857,4,3.65446
620,17250,"PRF18","flanker",5,5,0
621,17250,"PRF18","flanker",5,5,0
622,17250,"PRF18","flanker",5,5,0
623,17261,"PRF18","flanker",8.05629,5,3.22871
624,17240,"PRF18","flanker",7.75008,5,3.10723
625,17259,"PRF18","flanker",8.3878,5,3.50685
626,12210,"PRF18","flanker",8.34713,5,3.46618
627,17232,"PRF18","flanker",5,5,0
628,18703,"PUF18","flanker",6.90016,5,2.01921
629,18661,"PUF18","flanker",6.60656,5,2.08276
630,18618,"PUF18","flanker",5.95198,4,1.90436
631,18617,"PUF18","flanker",7.74049,5,2.74049
632,16747,"PUF18","flanker",5,5,0
633,18126,"PUF18","flanker",5,5,0
634,17701,"PUF18","flanker",8.27527,5,3.27527
635,17700,"PUF18","flanker",7.80694,5,2.92599
636,17699,"PUF18","flanker",5.8579,5,1.096
637,17698,"PUF18","flanker",3.57143,4,0.82978
638,17697,"PUF18","flanker",5.29891,4,1.0132
639,17696,"PUF18","flanker",7.03304,5,2.03304
640,17695,"PUF18","flanker",8.43203,5,3.67012
641,17691,"PUF18","flanker",7.80402,5,2.80402
642,17690,"PUF18","flanker",7.28038,5,2.63752
643,17689,"PUF18","flanker",8.20411,5,3.20411
644,17688,"PUF18","flanker",7.45019,5,2.68828
645,17687,"PUF18","flanker",5.81277,5,1.05087
646,17686,"PUF18","flanker",3.45238,3,3.4422
647,17685,"PUF18","flanker",7.75806,5,2.87711
648,17684,"PUF18","flanker",6.4187,5,1.89489
649,17683,"PUF18","flanker",7.91999,5,2.91999
650,17682,"PUF18","flanker",7.38238,5,2.50142
651,17681,"PUF18","flanker",7.60948,5,2.60948
652,17680,"PUF18","flanker",8.35924,5,3.47829
653,17679,"PUF18","flanker",7.55798,5,3.03417
654,17678,"PUF18","flanker",7.63111,5,2.63111
655,17677,"PUF18","flanker",6.97532,4,2.6896
656,17672,"PUF18","flanker",3.80952,4,0
657,17671,"PUF18","flanker",8.02465,5,3.02465
658,17670,"PUF18","flanker",8.22082,5,3.33987
659,17669,"PUF18","flanker",3.57143,4,1.10886
660,17668,"PUF18","flanker",7.88003,5,2.88003
661,17667,"PUF18","flanker",7.86981,5,2.86981
662,17666,"PUF18","flanker",3.21429,3,1.71502
663,17665,"PUF18","flanker",6.97772,4,2.81106
664,17663,"PUF18","flanker",3.45238,3,2.56451
665,17662,"PUF18","flanker",3.45238,3,1.78164
666,17661,"PUF18","flanker",3.92857,4,2.89031
667,17659,"PUF18","flanker",7.31941,5,2.7956
668,17657,"PUF18","flanker",6.92327,5,2.04232
669,17655,"PUF18","flanker",6.62581,5,1.74486
670,17654,"PUF18","flanker",7.63623,5,2.63623
671,17653,"PUF18","flanker",7.2467,5,2.4848
672,17651,"PUF18","flanker",6.76344,4,2.47772
673,17645,"PUF18","flanker",3.80952,4,2.22912
674,17642,"PUF18","flanker",5,5,0
675,17642,"PUF18","flanker",6.79245,5,2.26865
676,17641,"PUF18","flanker",7.623,5,2.8611
677,17640,"PUF18","flanker",8.34512,5,3.46417
678,17638,"PUF18","flanker",7.83721,5,2.95626
679,17637,"PUF18","flanker",7.82615,5,3.18329
680,17636,"PUF18","flanker",7.87127,5,2.87127
681,17635,"PUF18","flanker",5.23567,5,0.235675
682,17634,"PUF18","flanker",3.57143,4,1.57047
683,17632,"PUF18","flanker",7.64234,5,2.99949
684,17630,"PUF18","flanker",8.10966,5,3.22871
685,17629,"PUF18","flanker",7.87411,5,3.1122
686,17628,"PUF18","flanker",7.8611,5,2.8611
687,17627,"PUF18","flanker",6.3259,5,1.3259
688,17625,"PUF18","flanker",7.84792,5,2.96697
689,17623,"PUF18","flanker",6.71348,5,1.95157
690,17622,"PUF18","flanker",8.23757,5,3.23757
691,17621,"PUF18","flanker",7.42205,5,2.42205
692,17620,"PUF18","flanker",3.92857,4,2.69755
693,17619,"PUF18","flanker",3.80952,4,1.34876
694,17618,"PUF18","flanker",3.09524,3,0
695,17617,"PUF18","flanker",8.04809,5,3.28619
696,17616,"PUF18","flanker",7.49904,5,2.49904
697,17615,"PUF18","flanker",5.1732,5,0.53034
698,17613,"PUF18","flanker",8.06424,5,3.18329
699,17612,"PUF18","flanker",3.92857,4,2.43351
700,17612,"PUF18","flanker",3.92857,4,2.43351
701,17611,"PUF18","flanker",8.07462,5,3.19367
702,17611,"PUF18","flanker",5,5,0
703,17611,"PUF18","flanker",5,5,0
704,17611,"PUF18","flanker",5,5,0
705,17611,"PUF18","flanker",8.41071,5,3.41071
706,17610,"PUF18","flanker",8.45907,5,3.57811
707,17608,"PUF18","flanker",8.11675,5,3.23579
708,17607,"PUF18","flanker",3.69048,4,2.18639
709,17606,"PUF18","flanker",5.54769,5,1.02388
710,17605,"PUF18","flanker",7.55835,5,2.55835
711,17604,"PUF18","flanker",3.57143,4,1.99367
712,17603,"PUF18","flanker",7.7984,5,2.7984
713,17602,"PUF18","flanker",6.98486,5,2.22295
714,17601,"PUF18","flanker",8.20958,5,3.32863
715,17600,"PUF18","flanker",6.53477,5,2.01096
716,17599,"PUF18","flanker",8.06079,5,3.17984
717,17597,"PUF18","flanker",7.67121,5,2.67121
718,17596,"PUF18","flanker",8.08856,5,3.20761
719,17595,"PUF18","flanker",7.95211,5,3.1902
720,17594,"PUF18","flanker",7.76452,5,3.00261
721,17592,"PUF18","flanker",8.13459,5,3.25363
722,17591,"PUF18","flanker",8.47829,5,3.47829
723,17590,"PUF18","flanker",3.57143,4,1.61052
724,17589,"PUF18","flanker",8.21637,5,3.21637
725,17588,"PUF18","flanker",8.36329,5,3.48234
726,17587,"PUF18","flanker",8.16953,5,3.16953
727,17585,"PUF18","flanker",8.19656,5,3.31561
728,17584,"PUF18","flanker",6.61133,5,1.96847
729,17583,"PUF18","flanker",3.57143,4,1.58131
730,17582,"PUF18","flanker",6.54486,5,2.02105
731,17581,"PUF18","flanker",8.26803,5,3.26803
732,17580,"PUF18","flanker",7.89769,5,2.89769
733,17579,"PUF18","flanker",3.09524,3,1.06945
734,17578,"PUF18","flanker",8.01319,5,3.13223
735,17577,"PUF18","flanker",7.42205,5,2.42205
736,17576,"PUF18","flanker",6.97384,5,1.97384
737,17575,"PUF18","flanker",7.09367,5,2.21272
738,17574,"PUF18","flanker",8.38358,5,3.38358
739,17573,"PUF18","flanker",6.87382,4,2.58811
740,17571,"PUF18","flanker",5.84237,5,1.08046
741,17570,"PUF18","flanker",3.69048,4,1.97923
742,17569,"PUF18","flanker",6.48275,5,1.8399
743,17568,"PUF18","flanker",7.94865,5,3.18674
744,17567,"PUF18","flanker",7.56698,5,2.56698
745,17566,"PUF18","flanker",7.74194,5,3.21813
746,17565,"PUF18","flanker",7.85407,5,2.97312
747,17564,"PUF18","flanker",7.56265,5,2.6817
748,17563,"PUF18","flanker",3.80952,4,3.22517
749,17562,"PUF18","flanker",3.57143,4,3.19367
750,17561,"PUF18","flanker",3.57143,4,0.863855
751,17560,"PUF18","flanker",8.05907,5,3.29716
752,17559,"PUF18","flanker",7.36575,5,2.4848
753,17559,"PUF18","flanker",7.36575,5,2.4848
754,17558,"PUF18","flanker",8.14233,5,3.14233
