"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"445","PUF18","3277","16927","NA","dccs","aaetroarlqs3pl8dpeme46cvb7","pub_FH@phCco~W","6.90356","2018-10-23 09:05:47","39","37","5","1","2.15997","6","6","1644","1109.5","1190.56","1109.5","1","23","21","1276.1","917","802.622","917","0.913043","2019-03-20 15:53:41"
"444","PUF18","3277","16994","NA","dccs","m5kserafl3ri30j59p6766ue47","pub_FcM~UG@kwv","2.4359","2018-10-23 09:03:03","39","19","2","0","3.76423","6","3","803","530","509.656","530","0.5","23","6","619.5","601","411.153","601","0.26087","2019-03-20 15:53:34"
"443","PUF18","3277","17267","NA","dccs","9iiq8vtd7g27qb3v6sgm42jf31","pub_4ZQ1x1Z2LL","6.98874","2018-10-23 08:59:05","39","35","4","1","2.50156","6","4","1029","948","354.948","948","0.666667","23","21","921.095","661","584.216","661","0.913043","2019-03-20 15:53:19"
"442","PUF18","3277","17026","NA","dccs","jm5fqm6fbvnjdrrv873a53c4r3","pub_@yQ0_wHISS","8.15595","2018-10-23 09:43:35","39","36","5","1","3.54057","6","4","596.75","587.5","159.201","587.5","0.666667","23","22","626.091","625","244.011","639","0.956522","2019-03-20 15:52:53"
"441","PUF18","3277","17270","NA","dccs","6ldvcjgpadf9lnkt20huaec4k7","pub_fqkSfLACph","8.08541","2018-10-16 09:29:57","39","39","5","1","3.08541","6","6","705.833","724.5","77.241","724.5","1","23","23","739.957","635","318.94","614","1","2019-03-20 15:52:04"
"440","PUF18","3277","17010","NA","dccs","nr7uvrujcl9fhe01akeahf84h7","pub_L-llSoRRHB","8.07803","2018-10-23 09:42:44","39","37","5","1","3.33444","6","4","625","646","185.436","646","0.666667","23","23","863.739","698","562.872","655.5","1","2019-03-20 15:52:02"
"439","PUF18","3277","16948","NA","dccs","d9velbf7ipc1hn6sk6k5au40p6","pub_1iLgswBx8n","7.39256","2018-10-16 09:32:44","39","36","5","1","2.77717","6","5","861.4","835","217.521","835","0.833333","23","21","1098.1","721","1149.82","696.5","0.913043","2019-03-20 15:51:45"
"438","PUF18","3277","17271","NA","dccs","me1011bqsderdtlbd7pogf69g5","pub_Gf~FQOCHsx","7.16027","2018-10-16 09:40:06","39","35","4","1","2.67309","6","3","1091.67","876","422.971","876","0.5","23","22","806.364","772","227.224","772","0.956522","2019-03-20 15:51:41"
"437","PUF18","3277","16947","NA","dccs","g58svrcaeb5n26accua5900fn7","pub_hNy@Wid@Cw","7.31009","2018-10-16 09:46:42","40","34","4","1","3.06009","7","3","728.333","733","177.046","733","0.428571","23","21","613.571","508","356.566","507.5","0.913043","2019-03-20 15:51:36"
"436","PUF18","3277","16947","NA","dccs","kn2pu15fangeds7hs9jr39seq4","pub_052O-2DPM8","3.07692","2018-10-16 09:46:29","39","24","3","0","5","6","3","334.333","146","329.673","300","0.5","23","11","679.273","269","881.966","368","0.478261","2019-03-20 15:51:35"
